split_slug,seed,model,explanation_cohort,sample_key,output_scope,feature,mean_abs_shap,importance_rank,sample_rows
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,overall_equal_class_mean,feature_hour,0.13575361207535333,5.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_day_of_week,0.04225021601863087,15.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_first_road_class,0.04570327073989581,14.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_road_type,0.09125700702835615,7.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_junction_detail,0.09838460185060716,5.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_junction_control,0.04629175764377949,13.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_second_road_class,0.10862336030681634,3.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_pedestrian_crossing,0.05484245361155469,10.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_light_conditions,0.04996866870956797,11.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_weather_conditions,0.07026904126850486,8.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_road_surface_conditions,0.02921999512851011,16.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_special_conditions_at_site,0.2388703764756935,1.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_carriageway_hazards,0.015956431406058628,17.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_urban_or_rural_area,0.10234340774852847,4.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_trunk_road_flag,0.04639290887099882,12.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_speed_limit,0.12294959955723674,2.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_month,0.05562423166895217,9.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Slight,feature_hour,0.09218362278892493,6.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_day_of_week,0.04128474117317684,6.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_first_road_class,0.04863939006453578,3.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_road_type,0.020083874383872734,13.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_junction_detail,0.04598284323732832,4.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_junction_control,0.035427154296553943,8.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_second_road_class,0.024553817128406274,10.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_pedestrian_crossing,0.022468926285140575,11.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_light_conditions,0.017397877940225008,14.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_weather_conditions,0.025625388731982474,9.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_road_surface_conditions,0.013477392994092088,16.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_special_conditions_at_site,0.03585878326533419,7.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_carriageway_hazards,0.01612473666070132,15.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_urban_or_rural_area,0.011239127241150313,17.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_trunk_road_flag,0.020683538200169802,12.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_speed_limit,0.045470568821943794,5.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_month,0.06502549324118032,2.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Serious,feature_hour,0.06916395158178965,1.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_day_of_week,0.08312087578707,15.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_first_road_class,0.12750924566606073,11.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_road_type,0.30915761077645304,4.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_junction_detail,0.20625838164428878,9.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_junction_control,0.21454048635348014,8.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_second_road_class,0.2239428918286395,6.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_pedestrian_crossing,0.21475058008185646,7.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_light_conditions,0.05670156382686117,17.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_weather_conditions,0.3169836148072499,3.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_road_surface_conditions,0.0949417859673291,14.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_special_conditions_at_site,0.45770706011715157,1.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_carriageway_hazards,0.12041128566751406,12.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_urban_or_rural_area,0.11085056182642118,13.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_trunk_road_flag,0.06007291092623343,16.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_speed_limit,0.34114294129939965,2.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_month,0.12955374333837438,10.0,10000
random_seed_1103,1103,lightgbm_weighted,future_2024,future_2024,Fatal,feature_hour,0.2459132618553454,5.0,10000
random_seed_2207,2207,lightgbm_weighted,random_internal_test,random_seed_2207_internal,overall_equal_class_mean,feature_day_of_week,0.06016511077633956,12.0,10000
random_seed_2207,2207,lightgbm_weighted,random_internal_test,random_seed_2207_internal,overall_equal_class_mean,feature_first_road_class,0.0806280203295434,9.0,10000
random_seed_2207,2207,lightgbm_weighted,random_internal_test,random_seed_2207_internal,overall_equal_class_mean,feature_road_type,0.13588043488918938,2.0,10000
random_seed_2207,2207,lightgbm_weighted,random_internal_test,random_seed_2207_internal,overall_equal_class_mean,feature_junction_detail,0.06511510915360123,11.0,10000
random_seed_2207,2207,lightgbm_weighted,random_internal_test,random_seed_2207_internal,overall_equal_class_mean,feature_junction_control,0.10681357062153747,7.0,10000
