dataset,seed,model,metric,gap,ci_lower,ci_upper,design,iterations
stats19,3301,logistic_weighted,fatal_recall,0.41534027166831722,0.38311226882410188,0.44992079279643371,independent_true_class_stratified,2000
stats19,3301,lightgbm_legacy,fatal_recall,0.26390439090041723,0.23596341837702442,0.29357099148165128,independent_true_class_stratified,2000
stats19,3301,lightgbm_revised,fatal_recall,0.26390439090041723,0.23596341837702442,0.29357099148165128,independent_true_class_stratified,2000
stats19,3301,dummy_most_frequent,serious_or_fatal_recall,0,0,0,independent_true_class_stratified,2000
stats19,3301,logistic_weighted,serious_or_fatal_recall,0.39616127466170881,0.38836946482463469,0.40426247555617134,independent_true_class_stratified,2000
stats19,3301,lightgbm_legacy,serious_or_fatal_recall,0.33571381385568855,0.32752050010410394,0.34402777382469185,independent_true_class_stratified,2000
stats19,3301,lightgbm_revised,serious_or_fatal_recall,0.33571381385568855,0.32752050010410394,0.34402777382469185,independent_true_class_stratified,2000
stats19,3301,dummy_most_frequent,mean_asymmetric_cost,0.057094000276222912,0.057094000276222912,0.057094000276222912,independent_true_class_stratified,2000
stats19,3301,logistic_weighted,mean_asymmetric_cost,-0.14806751732163126,-0.15466059586762732,-0.14094079408497365,independent_true_class_stratified,2000
stats19,3301,lightgbm_legacy,mean_asymmetric_cost,-0.059807415500612859,-0.065997303510070382,-0.053570504207919485,independent_true_class_stratified,2000
stats19,3301,lightgbm_revised,mean_asymmetric_cost,-0.059807415500612859,-0.065997303510070382,-0.053570504207919485,independent_true_class_stratified,2000
stats19,4409,dummy_most_frequent,macro_f1,0.0059798090309858276,0.0059798090309858276,0.0059798090309858276,independent_true_class_stratified,2000
stats19,4409,logistic_weighted,macro_f1,-0.0077246658483816621,-0.01165810478022293,-0.0039292965806691929,independent_true_class_stratified,2000
stats19,4409,lightgbm_legacy,macro_f1,-0.00080109242202230924,-0.005474089942828558,0.0036946999398867805,independent_true_class_stratified,2000
stats19,4409,lightgbm_revised,macro_f1,-0.00080109242202230924,-0.005474089942828558,0.0036946999398867805,independent_true_class_stratified,2000
stats19,4409,dummy_most_frequent,qwk,0,0,0,independent_true_class_stratified,2000
stats19,4409,logistic_weighted,qwk,0.063052382119049732,0.055270987040606852,0.070872949863509435,independent_true_class_stratified,2000
stats19,4409,lightgbm_legacy,qwk,0.052647761208891808,0.044220969911535325,0.061460631938546346,independent_true_class_stratified,2000
stats19,4409,lightgbm_revised,qwk,0.052647761208891808,0.044220969911535325,0.061460631938546346,independent_true_class_stratified,2000
stats19,4409,dummy_most_frequent,ordinal_mae,0.028351227766435227,0.028351227766435227,0.028351227766435227,independent_true_class_stratified,2000
stats19,4409,logistic_weighted,ordinal_mae,-0.27648331429765394,-0.28209062003217067,-0.27039872058441694,independent_true_class_stratified,2000
stats19,4409,lightgbm_legacy,ordinal_mae,-0.14474302912852555,-0.14965363465641554,-0.1395370346468767,independent_true_class_stratified,2000
stats19,4409,lightgbm_revised,ordinal_mae,-0.14474302912852555,-0.14965363465641554,-0.1395370346468767,independent_true_class_stratified,2000
stats19,4409,dummy_most_frequent,accuracy,0.027959683023082604,0.027959683023082604,0.027959683023082604,independent_true_class_stratified,2000
stats19,4409,logistic_weighted,accuracy,-0.16505894412402544,-0.16884590179352316,-0.16101882893823366,independent_true_class_stratified,2000
stats19,4409,lightgbm_legacy,accuracy,-0.098593907475790887,-0.10253909448925927,-0.094644402390380647,independent_true_class_stratified,2000
stats19,4409,lightgbm_revised,accuracy,-0.098593907475790887,-0.10253909448925927,-0.094644402390380647,independent_true_class_stratified,2000
stats19,4409,dummy_most_frequent,fatal_recall,0,0,0,independent_true_class_stratified,2000
stats19,4409,logistic_weighted,fatal_recall,0.45033060190802626,0.42074796239230533,0.48384338657976428,independent_true_class_stratified,2000
stats19,4409,lightgbm_legacy,fatal_recall,0.25348688029418187,0.22226455158333391,0.28444812786006157,independent_true_class_stratified,2000
stats19,4409,lightgbm_revised,fatal_recall,0.25348688029418187,0.22226455158333391,0.28444812786006157,independent_true_class_stratified,2000
stats19,4409,dummy_most_frequent,serious_or_fatal_recall,0,0,0,independent_true_class_stratified,2000
stats19,4409,logistic_weighted,serious_or_fatal_recall,0.42375116956152603,0.41558654628213665,0.43203765174820236,independent_true_class_stratified,2000
stats19,4409,lightgbm_legacy,serious_or_fatal_recall,0.29669770367482989,0.28785704990530314,0.30527736534548772,independent_true_class_stratified,2000
stats19,4409,lightgbm_revised,serious_or_fatal_recall,0.29669770367482989,0.28785704990530314,0.30527736534548772,independent_true_class_stratified,2000
stats19,4409,dummy_most_frequent,mean_asymmetric_cost,0.057094000276222912,0.057094000276222912,0.057094000276222912,independent_true_class_stratified,2000
stats19,4409,logistic_weighted,mean_asymmetric_cost,-0.14688984059598076,-0.15352023197329848,-0.1397806079346392,independent_true_class_stratified,2000
stats19,4409,lightgbm_legacy,mean_asymmetric_cost,-0.050426571386508301,-0.05643644944381513,-0.044338562517188353,independent_true_class_stratified,2000
stats19,4409,lightgbm_revised,mean_asymmetric_cost,-0.050426571386508301,-0.05643644944381513,-0.044338562517188353,independent_true_class_stratified,2000
stats19,5501,dummy_most_frequent,macro_f1,0.0059798090309858276,0.0059798090309858276,0.0059798090309858276,independent_true_class_stratified,2000
stats19,5501,logistic_weighted,macro_f1,-0.025273883444974887,-0.029223375075374772,-0.021312780529327262,independent_true_class_stratified,2000
stats19,5501,lightgbm_legacy,macro_f1,-0.0040431726856449135,-0.008594374824443184,0.00017688972203762956,independent_true_class_stratified,2000
stats19,5501,lightgbm_revised,macro_f1,-0.0040431726856449135,-0.008594374824443184,0.00017688972203762956,independent_true_class_stratified,2000
stats19,5501,dummy_most_frequent,qwk,0,0,0,independent_true_class_stratified,2000
stats19,5501,logistic_weighted,qwk,0.029955292762837704,0.022394163644978492,0.037589050165225235,independent_true_class_stratified,2000
stats19,5501,lightgbm_legacy,qwk,0.052291813025640455,0.044137199687218263,0.060787897181810123,independent_true_class_stratified,2000
stats19,5501,lightgbm_revised,qwk,0.052291813025640455,0.044137199687218263,0.060787897181810123,independent_true_class_stratified,2000
stats19,5501,dummy_most_frequent,ordinal_mae,0.028351227766435227,0.028351227766435227,0.028351227766435227,independent_true_class_stratified,2000
stats19,5501,logistic_weighted,ordinal_mae,-0.24779968525475587,-0.25354793192294139,-0.24189422053271917,independent_true_class_stratified,2000
stats19,5501,lightgbm_legacy,ordinal_mae,-0.14682683933429769,-0.15187233866885927,-0.14166514658020649,independent_true_class_stratified,2000
stats19,5501,lightgbm_revised,ordinal_mae,-0.14682683933429769,-0.15187233866885927,-0.14166514658020649,independent_true_class_stratified,2000
stats19,5501,dummy_most_frequent,accuracy,0.027959683023082604,0.027959683023082604,0.027959683023082604,independent_true_class_stratified,2000
stats19,5501,logistic_weighted,accuracy,-0.14111063768876625,-0.14487231613965421,-0.13725572648810486,independent_true_class_stratified,2000
stats19,5501,lightgbm_legacy,accuracy,-0.10030461074515706,-0.10431912689778991,-0.096321893193487024,independent_true_class_stratified,2000
stats19,5501,lightgbm_revised,accuracy,-0.10030461074515706,-0.10431912689778991,-0.096321893193487024,independent_true_class_stratified,2000
stats19,5501,dummy_most_frequent,fatal_recall,0,0,0,independent_true_class_stratified,2000
stats19,5501,logistic_weighted,fatal_recall,0.38897885615647765,0.35601815093595085,0.42310737913752788,independent_true_class_stratified,2000
stats19,5501,lightgbm_legacy,fatal_recall,0.2661171408773032,0.23683561502820863,0.29548262779191092,independent_true_class_stratified,2000
stats19,5501,lightgbm_revised,fatal_recall,0.2661171408773032,0.23683561502820863,0.29548262779191092,independent_true_class_stratified,2000
stats19,5501,dummy_most_frequent,serious_or_fatal_recall,0,0,0,independent_true_class_stratified,2000
stats19,5501,logistic_weighted,serious_or_fatal_recall,0.33042041929546673,0.32205342993115954,0.33915081786625972,independent_true_class_stratified,2000
stats19,5501,lightgbm_legacy,serious_or_fatal_recall,0.28562318816498627,0.27740352349129499,0.2943020584442409,independent_true_class_stratified,2000
stats19,5501,lightgbm_revised,serious_or_fatal_recall,0.28562318816498627,0.27740352349129499,0.2943020584442409,independent_true_class_stratified,2000
stats19,5501,dummy_most_frequent,mean_asymmetric_cost,0.057094000276222912,0.057094000276222912,0.057094000276222912,independent_true_class_stratified,2000
stats19,5501,logistic_weighted,mean_asymmetric_cost,-0.14309099708353956,-0.14979605104988433,-0.13601567328943018,independent_true_class_stratified,2000
stats19,5501,lightgbm_legacy,mean_asymmetric_cost,-0.054975344225776657,-0.0610373263330381,-0.04879149048639831,independent_true_class_stratified,2000
stats19,5501,lightgbm_revised,mean_asymmetric_cost,-0.054975344225776657,-0.0610373263330381,-0.04879149048639831,independent_true_class_stratified,2000
