dataset,seed,cohort,scope,feature,mean_abs_shap,rank,mean_signed_shap,positive_fraction,negative_fraction
stats19,1103,future,Slight,feature_speed_limit,0.12294959955723674,2,0.018494906688767302,0.72040000000000004,0.27960000000000002
stats19,1103,future,Slight,feature_month,0.055624231668952168,9,0.0063082980172609578,0.5292,0.4708
stats19,1103,future,Slight,feature_hour,0.092183622788924932,6,0.0029606612749687221,0.5383,0.4617
stats19,1103,future,Serious,feature_day_of_week,0.041284741173176841,6,0.00082317765634272672,0.49580000000000002,0.50419999999999998
stats19,1103,future,Serious,feature_first_road_class,0.048639390064535777,3,0.0042881563224607079,0.49959999999999999,0.50039999999999996
stats19,1103,future,Serious,feature_road_type,0.020083874383872734,13,-0.0013941768782879159,0.54020000000000001,0.45979999999999999
stats19,1103,future,Serious,feature_junction_detail,0.045982843237328319,4,-0.0077086281655359525,0.4345,0.5655
stats19,1103,future,Serious,feature_junction_control,0.035427154296553943,8,6.8727327256543514e-05,0.496,0.504
stats19,1103,future,Serious,feature_second_road_class,0.024553817128406274,10,0.0068616896959771256,0.51600000000000001,0.48399999999999999
stats19,1103,future,Serious,feature_pedestrian_crossing,0.022468926285140575,11,-0.00093234271740228749,0.3533,0.64670000000000005
stats19,1103,future,Serious,feature_light_conditions,0.017397877940225008,14,0.0028954405032324132,0.39119999999999999,0.60880000000000001
stats19,1103,future,Serious,feature_weather_conditions,0.025625388731982474,9,2.5870908336194653e-05,0.28749999999999998,0.71250000000000002
stats19,1103,future,Serious,feature_road_surface_conditions,0.013477392994092088,16,0.00069505106078300311,0.47170000000000001,0.52829999999999999
stats19,1103,future,Serious,feature_special_conditions_at_site,0.03585878326533419,7,0.031303778946298766,0.6341,0.3659
stats19,1103,future,Serious,feature_carriageway_hazards,0.016124736660701321,15,0.00080375268716484274,0.1535,0.84650000000000003
stats19,1103,future,Serious,feature_urban_or_rural_area,0.011239127241150313,17,-0.0013971688506679509,0.3987,0.60129999999999995
stats19,1103,future,Serious,feature_trunk_road_flag,0.020683538200169802,12,-0.00084344144811612342,0.23749999999999999,0.76249999999999996
stats19,1103,future,Serious,feature_speed_limit,0.045470568821943794,5,-0.0063123789862982336,0.58979999999999999,0.41020000000000001
stats19,1103,future,Serious,feature_month,0.065025493241180315,2,-0.0021367532160901435,0.51819999999999999,0.48180000000000001
stats19,1103,future,Serious,feature_hour,0.069163951581789646,1,6.5517573961339749e-05,0.50990000000000002,0.49009999999999998
stats19,1103,future,Fatal,feature_day_of_week,0.083120876716899619,15,0.0018558171266286013,0.5131,0.4869
stats19,1103,future,Fatal,feature_first_road_class,0.12750924566606081,11,-0.031443776764174119,0.50449999999999995,0.4955
stats19,1103,future,Fatal,feature_road_type,0.30915761077645293,4,0.024004037619505522,0.74909999999999999,0.25090000000000001
stats19,1103,future,Fatal,feature_junction_detail,0.20625838164428878,9,-0.12748155212170464,0.56310000000000004,0.43690000000000001
stats19,1103,future,Fatal,feature_junction_control,0.21454048635348014,8,0.015239745601759613,0.81869999999999998,0.18129999999999999
stats19,1103,future,Fatal,feature_second_road_class,0.22394289112328183,6,-0.15419340109734922,0.39789999999999998,0.60209999999999997
stats19,1103,future,Fatal,feature_pedestrian_crossing,0.21475058008185643,7,-0.0050037713302036203,0.80469999999999997,0.1953
stats19,1103,future,Fatal,feature_light_conditions,0.056701563826861187,17,0.010964360311383613,0.67359999999999998,0.32640000000000002
stats19,1103,future,Fatal,feature_weather_conditions,0.31698361480724985,3,0.010760101542859555,0.79049999999999998,0.20949999999999999
stats19,1103,future,Fatal,feature_road_surface_conditions,0.094941785967329106,14,-0.016242046495732673,0.85199999999999998,0.14799999999999999
stats19,1103,future,Fatal,feature_special_conditions_at_site,0.45770706011715157,1,-0.44059096593518282,0.37259999999999999,0.62739999999999996
stats19,1103,future,Fatal,feature_carriageway_hazards,0.12041128566751406,12,-0.0026565259810201591,0.93100000000000005,0.069000000000000006
stats19,1103,future,Fatal,feature_urban_or_rural_area,0.11085056038281678,13,0.0080436016046491511,0.33829999999999999,0.66169999999999995
stats19,1103,future,Fatal,feature_trunk_road_flag,0.060072981515210198,16,0.022931057734598533,0.86099999999999999,0.13900000000000001
stats19,1103,future,Fatal,feature_speed_limit,0.34114299589094116,2,-0.048483954285472669,0.32000000000000001,0.68000000000000005
stats19,1103,future,Fatal,feature_month,0.12955374976097428,10,-0.0076631148660959436,0.47449999999999998,0.52549999999999997
stats19,1103,future,Fatal,feature_hour,0.24591324920171834,5,-3.8286591426830442e-05,0.49340000000000001,0.50660000000000005
stats19,2207,internal,overall,feature_day_of_week,0.060165115979588152,12,0.00074333477342720705,0.5141,0.4859
stats19,2207,internal,overall,feature_first_road_class,0.080628021710032041,9,-0.0048888352642156886,0.45290000000000002,0.54710000000000003
stats19,2207,internal,overall,feature_road_type,0.13588043616006443,2,0.0019129348619149145,0.7923,0.2077
stats19,2207,internal,overall,feature_junction_detail,0.065115101517936272,11,-0.018369565433316356,0.48999999999999999,0.51000000000000001
stats19,2207,internal,overall,feature_junction_control,0.1068135706215373,7,0.028558049174389429,0.9113,0.088700000000000001
stats19,2207,internal,overall,feature_second_road_class,0.10853474261262909,6,-0.0047210789752892453,0.56559999999999999,0.43440000000000001
stats19,2207,internal,overall,feature_pedestrian_crossing,0.114894708598674,5,0.0014038587343891053,0.8276,0.1724
stats19,2207,internal,overall,feature_light_conditions,0.046371208809949202,14,0.0047783841332405316,0.65169999999999995,0.3483
