dataset,seed,cohort,candidate,reference,metric,delta,ci_lower,ci_upper,design
stats19,2207,future,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.12295025117163888,0.12008654770279506,0.12592269660249483,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,logistic_weighted,ordinal_mae,-0.044903742308797456,-0.047846710989130771,-0.04190157242363296,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,lightgbm_legacy,ordinal_mae,0,0,0,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,dummy_most_frequent,accuracy,-0.10041911480575072,-0.10283670375618026,-0.09798121414487708,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,logistic_weighted,accuracy,0.009878426981878019,0.007371416964736888,0.012187026266509471,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,lightgbm_legacy,accuracy,0,0,0,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,dummy_most_frequent,fatal_recall,0.1151797603195739,0.098518641810918781,0.13117509986684411,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,logistic_weighted,fatal_recall,-0.10719041278295606,-0.12583222370173103,-0.089214380825565917,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,lightgbm_legacy,fatal_recall,0,0,0,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.25186485300570427,0.24671805815947984,0.25713032031592803,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,0.02880051059076949,0.023614823088276365,0.033746858670070601,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,lightgbm_legacy,serious_or_fatal_recall,0,0,0,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,dummy_most_frequent,mean_asymmetric_cost,0.05696196260663644,0.053156984751354906,0.060707986960872692,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,logistic_weighted,mean_asymmetric_cost,-0.048867002883272059,-0.052612531829936499,-0.044953283065978344,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,lightgbm_legacy,mean_asymmetric_cost,0,0,0,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,dummy_most_frequent,macro_f1,0.061248946930264059,0.058505222735138231,0.064050912216406464,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,logistic_weighted,macro_f1,0.029764715076590065,0.026835308818914466,0.032485200190532353,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,lightgbm_legacy,macro_f1,0,0,0,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,dummy_most_frequent,qwk,0.11200004965455745,0.10655427777238574,0.11714046474252733,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,logistic_weighted,qwk,0.016141411550702811,0.011922197027485718,0.020447233950511234,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,lightgbm_legacy,qwk,0,0,0,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.30801385777113938,0.30391642809725333,0.31223575844328272,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,logistic_weighted,ordinal_mae,-0.15251846319807483,-0.15641907310596637,-0.14824469960999087,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,lightgbm_legacy,ordinal_mae,0,0,0,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,dummy_most_frequent,accuracy,-0.23488714629491325,-0.23794705833540786,-0.23178522529250678,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,logistic_weighted,accuracy,0.05914446933864409,0.056001576632644545,0.061934694216247588,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,lightgbm_legacy,accuracy,0,0,0,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,dummy_most_frequent,fatal_recall,0.3750894774516822,0.35073371510379386,0.40085898353614891,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,logistic_weighted,fatal_recall,-0.25196850393700787,-0.27560844667143886,-0.22691481746599856,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,lightgbm_legacy,fatal_recall,0,0,0,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.5474095336690038,0.54086866500399977,0.55395275516446285,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,-0.061644157921980192,-0.067903863347607188,-0.055570326102301004,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,lightgbm_legacy,serious_or_fatal_recall,0,0,0,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,dummy_most_frequent,mean_asymmetric_cost,0.17647913036262552,0.17165587918015102,0.1811996929715376,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,logistic_weighted,mean_asymmetric_cost,-0.13162808065720688,-0.13631648825823584,-0.12652425109949383,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,lightgbm_legacy,mean_asymmetric_cost,0,0,0,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,dummy_most_frequent,macro_f1,0.064616240601717279,0.061117422484792745,0.068104696427296413,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,logistic_weighted,macro_f1,0.014415372605835752,0.01123274882948053,0.017410201678213149,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,lightgbm_legacy,macro_f1,0,0,0,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,dummy_most_frequent,qwk,0.048555621312046826,0.041528634215944937,0.05529530583454232,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,logistic_weighted,qwk,0.0039795262971341616,-0.0012779351773848147,0.0093198562977086265,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,lightgbm_legacy,qwk,0,0,0,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.11546959683731806,0.11252662815698475,0.11839349232613668,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,logistic_weighted,ordinal_mae,-0.046657485113002439,-0.049501372278973922,-0.043823753802253118,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,lightgbm_legacy,ordinal_mae,0,0,0,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,dummy_most_frequent,accuracy,-0.092452961051056715,-0.094781624342346465,-0.090164178069297662,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,logistic_weighted,accuracy,0.013841687556352622,0.011731003596658931,0.016081425188502592,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,lightgbm_legacy,accuracy,0,0,0,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,dummy_most_frequent,fatal_recall,0.11118508655126498,0.095206391478029298,0.12584886817576554,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,logistic_weighted,fatal_recall,-0.10053262316910787,-0.11584553928095873,-0.085219707057256983,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,lightgbm_legacy,fatal_recall,0,0,0,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.21169571981331525,0.20658981211855279,0.21668195779648172,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,-0.0011966971159599604,-0.0054649168295504424,0.0031114125014958804,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,lightgbm_legacy,serious_or_fatal_recall,0,0,0,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,dummy_most_frequent,mean_asymmetric_cost,0.059577714585789754,0.056010532364976683,0.063254134176186708,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,logistic_weighted,mean_asymmetric_cost,-0.043367978836188481,-0.046825923687417559,-0.039889722274515198,paired_true_class_stratified
stats19,3301,future,lightgbm_revised,lightgbm_legacy,mean_asymmetric_cost,0,0,0,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,dummy_most_frequent,macro_f1,0.064496740557174081,0.061567222262058956,0.067421742035474519,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,logistic_weighted,macro_f1,0.032420531259563734,0.029406312617339808,0.035258690520883477,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,lightgbm_legacy,macro_f1,0,0,0,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,dummy_most_frequent,qwk,0.11682350677036391,0.11199590398152877,0.1220464166109862,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,logistic_weighted,qwk,0.018879023385552252,0.014733250163894821,0.023207516480204186,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,lightgbm_legacy,qwk,0,0,0,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.30247489834868474,0.29821098871462953,0.30649971994025388,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,logistic_weighted,ordinal_mae,-0.16090988299726161,-0.16497619492158333,-0.15678133557381135,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,lightgbm_legacy,ordinal_mae,0,0,0,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,dummy_most_frequent,accuracy,-0.23117376151356728,-0.23421344701684499,-0.22791651107791877,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,logistic_weighted,accuracy,0.065969629076425229,0.063013442867811853,0.068760113268608425,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,lightgbm_legacy,accuracy,0,0,0,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,dummy_most_frequent,fatal_recall,0.38797423049391555,0.36292054402290624,0.41304581245526117,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,logistic_weighted,fatal_recall,-0.26342161775232642,-0.28847530422333573,-0.23836793128131717,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,lightgbm_legacy,fatal_recall,0,0,0,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.54948002446943678,0.54308032563173503,0.55573972989506382,paired_true_class_stratified
stats19,4409,internal,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,-0.069173215378099839,-0.075337631170297792,-0.062914686367700368,paired_true_class_stratified
