dataset,seed,cohort,model,metric,estimate,ci_lower,ci_upper
stats19,1103,future,lightgbm_revised,mean_asymmetric_cost,0.59847216304854001,0.59467709334469465,0.60253500054494835
stats19,2207,internal,dummy_most_frequent,macro_f1,0.29204261966379891,0.29204261966379891,0.29204261966379891
stats19,2207,internal,logistic_weighted,macro_f1,0.32304628350578035,0.32070144335147743,0.32553430520677307
stats19,2207,internal,lightgbm_legacy,macro_f1,0.35436311632440171,0.35157340715612673,0.35732424512009914
stats19,2207,internal,lightgbm_revised,macro_f1,0.35436311632440171,0.35157340715612673,0.35732424512009914
stats19,2207,internal,dummy_most_frequent,qwk,0,0,0
stats19,2207,internal,logistic_weighted,qwk,0.099241197485031241,0.09521441921702184,0.10317532599274218
stats19,2207,internal,lightgbm_legacy,qwk,0.11751024104997509,0.11229350872740335,0.12265666626371595
stats19,2207,internal,lightgbm_revised,qwk,0.11751024104997509,0.11229350872740335,0.12265666626371595
stats19,2207,internal,dummy_most_frequent,ordinal_mae,0.23493900921085387,0.23493900921085387,0.23493900921085387
stats19,2207,internal,logistic_weighted,ordinal_mae,0.69805410339390916,0.6932412247946228,0.70266030827317238
stats19,2207,internal,lightgbm_legacy,ordinal_mae,0.5391150112023898,0.53496545929798356,0.54311908762758276
stats19,2207,internal,lightgbm_revised,ordinal_mae,0.5391150112023898,0.53496545929798356,0.54311908762758276
stats19,2207,internal,dummy_most_frequent,accuracy,0.77956186208613398,0.77956186208613398,0.77956186208613398
stats19,2207,internal,logistic_weighted,accuracy,0.4837357895610323,0.48077960335241887,0.48693054518297235
stats19,2207,internal,lightgbm_legacy,accuracy,0.54668699692971534,0.54370980624014609,0.54983014895029458
stats19,2207,internal,lightgbm_revised,accuracy,0.54668699692971534,0.54370980624014609,0.54983014895029458
stats19,2207,internal,dummy_most_frequent,fatal_recall,0,0,0
stats19,2207,internal,logistic_weighted,fatal_recall,0.63948497854077258,0.61444921316165957,0.66380543633762523
stats19,2207,internal,lightgbm_legacy,fatal_recall,0.39413447782546496,0.3698140200286123,0.42060085836909872
stats19,2207,internal,lightgbm_revised,fatal_recall,0.39413447782546496,0.3698140200286123,0.42060085836909872
stats19,2207,internal,dummy_most_frequent,serious_or_fatal_recall,0,0,0
stats19,2207,internal,logistic_weighted,serious_or_fatal_recall,0.61678900809335591,0.61015316205533598,0.62337897609636739
stats19,2207,internal,lightgbm_legacy,serious_or_fatal_recall,0.54503105590062106,0.53825522303783169,0.55147750799924711
stats19,2207,internal,lightgbm_revised,serious_or_fatal_recall,0.54503105590062106,0.53825522303783169,0.55147750799924711
stats19,2207,internal,dummy_most_frequent,mean_asymmetric_cost,0.48437888971869553,0.48437888971869553,0.48437888971869553
stats19,2207,internal,logistic_weighted,mean_asymmetric_cost,0.79298398473155751,0.78776501950045641,0.79828515268442446
stats19,2207,internal,lightgbm_legacy,mean_asymmetric_cost,0.65697867396896525,0.65225888930379217,0.66186416065056841
stats19,2207,internal,lightgbm_revised,mean_asymmetric_cost,0.65697867396896525,0.65225888930379217,0.66186416065056841
stats19,2207,future,dummy_most_frequent,macro_f1,0.28606499420199677,0.28606499420199677,0.28606499420199677
stats19,2207,future,logistic_weighted,macro_f1,0.33786479609697379,0.33503187925595024,0.34061832250492513
stats19,2207,future,lightgbm_legacy,macro_f1,0.3584315969705118,0.35461891486224834,0.36206592972424173
stats19,2207,future,lightgbm_revised,macro_f1,0.3584315969705118,0.35461891486224834,0.36206592972424173
stats19,2207,future,dummy_most_frequent,qwk,0,0,0
stats19,2207,future,logistic_weighted,qwk,0.046692348324444133,0.040397230609873373,0.052724632755081088
stats19,2207,future,lightgbm_legacy,qwk,0.063984669481974343,0.057305586606299148,0.070400572833530753
stats19,2207,future,lightgbm_revised,qwk,0.063984669481974343,0.057305586606299148,0.070400572833530753
stats19,2207,future,dummy_most_frequent,ordinal_mae,0.26326949181091286,0.26326949181091286,0.26326949181091286
stats19,2207,future,logistic_weighted,ordinal_mae,0.4311234852913492,0.42771483349351508,0.43453188938539739
stats19,2207,future,lightgbm_legacy,ordinal_mae,0.38621974298255174,0.38335603951370789,0.38919218841340769
stats19,2207,future,lightgbm_revised,ordinal_mae,0.38621974298255174,0.38335603951370789,0.38919218841340769
stats19,2207,future,dummy_most_frequent,accuracy,0.75161255164623941,0.75161255164623941,0.75161255164623941
stats19,2207,future,logistic_weighted,accuracy,0.64131500985861067,0.63900591516640737,0.64363351729467833
stats19,2207,future,lightgbm_legacy,accuracy,0.65119343684048869,0.64877584789005915,0.65363133750136237
stats19,2207,future,lightgbm_revised,accuracy,0.65119343684048869,0.64877584789005915,0.65363133750136237
stats19,2207,future,dummy_most_frequent,fatal_recall,0,0,0
stats19,2207,future,logistic_weighted,fatal_recall,0.22237017310252996,0.20173102529960052,0.24300932090545938
stats19,2207,future,lightgbm_legacy,fatal_recall,0.1151797603195739,0.098518641810918781,0.13117509986684411
stats19,2207,future,lightgbm_revised,fatal_recall,0.1151797603195739,0.098518641810918781,0.13117509986684411
stats19,2207,future,dummy_most_frequent,serious_or_fatal_recall,0,0,0
stats19,2207,future,logistic_weighted,serious_or_fatal_recall,0.22306434241493478,0.21807810443176831,0.22817124735729388
stats19,2207,future,lightgbm_legacy,serious_or_fatal_recall,0.25186485300570427,0.24671805815947984,0.25713032031592803
stats19,2207,future,lightgbm_revised,serious_or_fatal_recall,0.25186485300570427,0.24671805815947984,0.25713032031592803
stats19,2207,future,dummy_most_frequent,mean_asymmetric_cost,0.54142102707897788,0.54142102707897788,0.54142102707897788
stats19,2207,future,logistic_weighted,mean_asymmetric_cost,0.64724999256888638,0.64314752246673335,0.65137227897391192
stats19,2207,future,lightgbm_legacy,mean_asymmetric_cost,0.59838298968561432,0.59457801183033276,0.60212901403985053
stats19,2207,future,lightgbm_revised,mean_asymmetric_cost,0.59838298968561432,0.59457801183033276,0.60212901403985053
stats19,3301,internal,dummy_most_frequent,macro_f1,0.2920448032329826,0.2920448032329826,0.2920448032329826
stats19,3301,internal,logistic_weighted,macro_f1,0.32352903508665659,0.32110156493616615,0.32606754660374215
stats19,3301,internal,lightgbm_legacy,macro_f1,0.35329375016324666,0.35055002596812085,0.35609571544938906
stats19,3301,internal,lightgbm_revised,macro_f1,0.35329375016324666,0.35055002596812085,0.35609571544938906
stats19,3301,internal,dummy_most_frequent,qwk,0,0,0
stats19,3301,internal,logistic_weighted,qwk,0.095858638103854643,0.09156508222319322,0.10017347813939469
stats19,3301,internal,lightgbm_legacy,qwk,0.11200004965455745,0.10655427777238574,0.11714046474252733
stats19,3301,internal,lightgbm_revised,qwk,0.11200004965455745,0.10655427777238574,0.11714046474252733
stats19,3301,internal,dummy_most_frequent,ordinal_mae,0.23491826404447763,0.23491826404447763,0.23491826404447763
stats19,3301,internal,logistic_weighted,ordinal_mae,0.69545058501369184,0.69076191809808318,0.70018048294747326
stats19,3301,internal,lightgbm_legacy,ordinal_mae,0.54293212181561701,0.53883469214173096,0.54715402248776035
stats19,3301,internal,lightgbm_revised,ordinal_mae,0.54293212181561701,0.53883469214173096,0.54715402248776035
stats19,3301,internal,dummy_most_frequent,accuracy,0.77957223466932202,0.77957223466932202,0.77957223466932202
stats19,3301,internal,logistic_weighted,accuracy,0.48554061903576468,0.48257328230022406,0.48858004522446269
stats19,3301,internal,lightgbm_legacy,accuracy,0.54468508837440877,0.54162517633391416,0.54778700937681524
stats19,3301,internal,lightgbm_revised,accuracy,0.54468508837440877,0.54162517633391416,0.54778700937681524
stats19,3301,internal,dummy_most_frequent,fatal_recall,0,0,0
stats19,3301,internal,logistic_weighted,fatal_recall,0.62705798138869007,0.59985683607730855,0.65212956335003569
stats19,3301,internal,lightgbm_legacy,fatal_recall,0.3750894774516822,0.35073371510379386,0.40085898353614891
stats19,3301,internal,lightgbm_revised,fatal_recall,0.3750894774516822,0.35073371510379386,0.40085898353614891
stats19,3301,internal,dummy_most_frequent,serious_or_fatal_recall,0,0,0
stats19,3301,internal,logistic_weighted,serious_or_fatal_recall,0.60905369159098399,0.60269987294715544,0.61564161686508867
stats19,3301,internal,lightgbm_legacy,serious_or_fatal_recall,0.5474095336690038,0.54086866500399977,0.55395275516446285
stats19,3301,internal,lightgbm_revised,serious_or_fatal_recall,0.5474095336690038,0.54086866500399977,0.55395275516446285
stats19,3301,internal,dummy_most_frequent,mean_asymmetric_cost,0.48432702680275497,0.48432702680275497,0.48432702680275497
stats19,3301,internal,logistic_weighted,mean_asymmetric_cost,0.79243423782258737,0.78725676292423863,0.79797449381794039
stats19,3301,internal,lightgbm_legacy,mean_asymmetric_cost,0.66080615716538049,0.65598290598290598,0.66552671977429256
stats19,3301,internal,lightgbm_revised,mean_asymmetric_cost,0.66080615716538049,0.65598290598290598,0.66552671977429256
stats19,3301,future,dummy_most_frequent,macro_f1,0.28606499420199677,0.28606499420199677,0.28606499420199677
stats19,3301,future,logistic_weighted,macro_f1,0.3362658621978783,0.33340854539387488,0.33903580471181355
stats19,3301,future,lightgbm_legacy,macro_f1,0.35068123480371405,0.34718241668678951,0.35416969062929321
stats19,3301,future,lightgbm_revised,macro_f1,0.35068123480371405,0.34718241668678951,0.35416969062929321
stats19,3301,future,dummy_most_frequent,qwk,0,0,0
stats19,3301,future,logistic_weighted,qwk,0.044576095014912664,0.038112123870621142,0.05094497146320489
