seed,model,explanation_cohort,output_class_code,output_class_label,feature,mean_signed_shap,median_signed_shap,mean_abs_shap,class_specific_importance_rank,positive_share,negative_share,zero_share,sample_rows,interpretation
1103,lightgbm_weighted,random_internal_test,2,Fatal,feature_urban,-0.009265161018047306,-0.08679752441799997,0.1530676887899383,8.0,0.3767137303048905,0.6232862696951095,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,2,Fatal,feature_weather_primary,-0.0046408060202726455,0.13219734845998532,0.2539051666431728,5.0,0.786781256394516,0.21321874360548393,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,2,Fatal,feature_weather_secondary,0.0010314790091094518,0.023357880700746125,0.04836794250361119,14.0,0.9607120933087784,0.039287906691221605,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,2,Fatal,feature_advisory_speed,0.003322885666309007,0.02623453217290222,0.04989340579403235,13.0,0.9204010640474729,0.07959893595252711,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,2,Fatal,feature_speed_limit,-0.0006450088418144289,-0.09688446999511661,0.3903770634623473,1.0,0.4376918354818907,0.5623081645181093,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,random_internal_test,2,Fatal,feature_temporary_speed_limit,0.0037597863581073903,0.06509227188316329,0.12100630420078248,10.0,0.9670554532432986,0.03294454675670145,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,matched_2025,0,Minor,feature_number_of_lanes,-0.0011420688846966384,-0.027908391675443296,0.07017749426268567,7.0,0.2635563740536116,0.7364436259463883,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,matched_2025,0,Minor,feature_state_highway,-0.00021625533922267599,0.016105262331775592,0.05832264191409049,8.0,0.620012277470841,0.37998772252915897,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,matched_2025,0,Minor,feature_terrain,0.004057873772901291,0.006354892048372703,0.04742912995131755,9.0,0.6087579291999181,0.39124207080008183,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,matched_2025,0,Minor,feature_light,0.008980577664726775,0.01684116013388879,0.09728351140505292,6.0,0.5880908532842235,0.41190914671577655,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,matched_2025,0,Minor,feature_road_character,0.0017042864571725975,-0.014593560938398607,0.03555254431585561,12.0,0.045017393083691425,0.9549826069163085,0.0,4887,raw_class_score_attribution_not_causal
1103,lightgbm_weighted,matched_2025,0,Minor,feature_road_lane,0.004941807217847341,-0.05349693121531262,0.10303298227371359,4.0,0.20994475138121546,0.7900552486187845,0.0,4887,raw_class_score_attribution_not_causal
