seed,model,metric,higher_is_better,contrast,internal_value,future_2025_value,point_gap,ci_lower,ci_upper,iterations,valid_iterations,bootstrap_design
2207,logistic_weighted,minor_recall,True,random_internal_minus_same_model_2025,0.525183630640084,0.5246898564826077,0.0004937741574763121,-0.01863725607058886,0.0207762735327607,2000,2000,independent_stratified
2207,logistic_weighted,serious_recall,True,random_internal_minus_same_model_2025,0.2484076433121019,0.26249393498301793,-0.014086291670916018,-0.046203840198778046,0.019126745720493114,2000,2000,independent_stratified
2207,logistic_weighted,fatal_recall,True,random_internal_minus_same_model_2025,0.631578947368421,0.583011583011583,0.04856736435683806,-0.049583418004470636,0.14735318024791688,2000,2000,independent_stratified
2207,logistic_weighted,serious_or_fatal_recall,True,random_internal_minus_same_model_2025,0.641860465116279,0.6538793103448276,-0.01201884522854857,-0.046482107056936624,0.021629611066559765,2000,2000,independent_stratified
2207,logistic_weighted,mean_asymmetric_cost,False,random_internal_minus_same_model_2025,0.8450992428892982,0.8338076266363119,0.011291616252986247,-0.018984343546041473,0.04040900911539907,2000,2000,independent_stratified
2207,lightgbm_weighted,macro_f1,True,random_internal_minus_same_model_2025,0.33371354493827643,0.3265141069696647,0.007199437968611722,-0.006850404045152128,0.02184459178181401,2000,2000,independent_stratified
2207,lightgbm_weighted,qwk,True,random_internal_minus_same_model_2025,0.09623859766153298,0.07684978226911676,0.019388815392416214,-0.004934986987364215,0.042541244085576295,2000,2000,independent_stratified
2207,lightgbm_weighted,ordinal_mae,False,random_internal_minus_same_model_2025,0.6766932678534888,0.6878201479795105,-0.011126880126021699,-0.03498961708196587,0.013437372728385386,2000,2000,independent_stratified
2207,lightgbm_weighted,accuracy,True,random_internal_minus_same_model_2025,0.48393697564968285,0.4745778789603491,0.009359096689333768,-0.006953775997765773,0.02610425176431865,2000,2000,independent_stratified
2207,lightgbm_weighted,minor_recall,True,random_internal_minus_same_model_2025,0.526495278069255,0.5100948674288495,0.01640041064040554,-0.002382997922549565,0.035246262044120284,2000,2000,independent_stratified
2207,lightgbm_weighted,serious_recall,True,random_internal_minus_same_model_2025,0.31316348195329086,0.34400776322173704,-0.030844281268446183,-0.06733930409145275,0.006032644471022353,2000,2000,independent_stratified
2207,lightgbm_weighted,fatal_recall,True,random_internal_minus_same_model_2025,0.47368421052631576,0.3861003861003861,0.08758382442592966,-0.011176590123958552,0.19081995529363943,2000,2000,independent_stratified
2207,lightgbm_weighted,serious_or_fatal_recall,True,random_internal_minus_same_model_2025,0.6046511627906976,0.6120689655172413,-0.0074178027265436874,-0.04215767842822777,0.02722789695268641,2000,2000,independent_stratified
2207,lightgbm_weighted,mean_asymmetric_cost,False,random_internal_minus_same_model_2025,0.7923061182729692,0.8033579965850882,-0.011051878312119068,-0.03814656455006657,0.017341435509096368,2000,2000,independent_stratified
3301,dummy_most_frequent,macro_f1,True,random_internal_minus_same_model_2025,0.29214085910257886,0.29211966176366094,2.119733891792208e-05,2.119733891792208e-05,2.119733891792208e-05,2000,2000,independent_stratified
3301,dummy_most_frequent,qwk,True,random_internal_minus_same_model_2025,0.0,0.0,0.0,0.0,0.0,2000,2000,independent_stratified
