seed,model,explanation_cohort,aggregation,feature,mean_abs_shap,importance_rank,sample_rows
4409,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_state_highway,0.08393473249076717,8.0,4887
4409,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_terrain,0.06699392381559784,9.0,4887
4409,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_light,0.11838894215827052,7.0,4887
4409,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_road_character,0.03179955622195756,12.0,4887
4409,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_road_lane,0.13412794082207877,5.0,4887
4409,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_road_surface,0.010954535175214266,15.0,4887
4409,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_street_light,0.12012802795679861,6.0,4887
4409,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_traffic_control,0.22614168909659993,2.0,4887
4409,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_urban,0.044513561814385275,11.0,4887
4409,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_weather_primary,0.15978925178168737,3.0,4887
4409,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_weather_secondary,0.028505121137332348,14.0,4887
4409,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_advisory_speed,0.030778584729098894,13.0,4887
4409,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_speed_limit,0.24231572470768384,1.0,4887
4409,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_temporary_speed_limit,0.0652684037364993,10.0,4887
5501,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_number_of_lanes,0.13564596924641115,4.0,4887
5501,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_state_highway,0.07584470168116277,8.0,4887
5501,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_terrain,0.0581811429902376,9.0,4887
5501,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_light,0.13699241221813416,3.0,4887
5501,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_road_character,0.042998358433013494,12.0,4887
5501,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_road_lane,0.11432823502158312,6.0,4887
5501,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_road_surface,0.011026213474617866,15.0,4887
5501,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_street_light,0.11009068333096127,7.0,4887
5501,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_traffic_control,0.18107478024720047,2.0,4887
5501,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_urban,0.04500973597011731,11.0,4887
5501,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_weather_primary,0.13140327565113835,5.0,4887
5501,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_weather_secondary,0.029121400415482713,14.0,4887
5501,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_advisory_speed,0.031595065270019415,13.0,4887
5501,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_speed_limit,0.22707511606291075,1.0,4887
5501,lightgbm_weighted,random_internal_test,mean_absolute_over_records_and_three_classes,feature_temporary_speed_limit,0.05614336317396599,10.0,4887
5501,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_number_of_lanes,0.1335159916733126,3.0,4887
5501,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_state_highway,0.07715932448737299,8.0,4887
5501,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_terrain,0.06135874380106187,9.0,4887
5501,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_light,0.13329589417814186,4.0,4887
5501,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_road_character,0.0395898152603526,12.0,4887
5501,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_road_lane,0.12010989755675802,6.0,4887
5501,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_road_surface,0.01276359468769456,15.0,4887
5501,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_street_light,0.1112612151415321,7.0,4887
5501,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_traffic_control,0.1727743697737682,2.0,4887
5501,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_urban,0.04592544089007582,11.0,4887
5501,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_weather_primary,0.12774423137139224,5.0,4887
5501,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_weather_secondary,0.02858293887710347,14.0,4887
5501,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_advisory_speed,0.03233727126394351,13.0,4887
5501,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_speed_limit,0.2287623428095805,1.0,4887
5501,lightgbm_weighted,matched_2025,mean_absolute_over_records_and_three_classes,feature_temporary_speed_limit,0.058986435165913904,10.0,4887
