split,cohort,scope,feature,mean_abs_shap,rank
random_seed_2207,future,overall,feature_second_road_class,0.137508896883379,2
random_seed_2207,future,overall,feature_speed_limit,0.22120279180528021,1
random_seed_2207,future,overall,feature_trunk_road_flag,0.04605731428856491,14
random_seed_2207,future,overall,feature_urban_or_rural_area,0.082020680970906965,11
random_seed_2207,future,overall,feature_weather_conditions,0.1200796107703284,7
random_seed_2207,internal,Fatal,feature_day_of_week,0.097703037326126924,12
random_seed_2207,internal,Fatal,feature_first_road_class,0.14783294285721457,8
random_seed_2207,internal,Fatal,feature_hour,0.23860280302133896,7
random_seed_2207,internal,Fatal,feature_junction_control,0.25478311644523161,6
random_seed_2207,internal,Fatal,feature_junction_detail,0.1365639945428847,9
random_seed_2207,internal,Fatal,feature_light_conditions,0.055432016715040722,15
random_seed_2207,internal,Fatal,feature_month,0.13529839324937631,10
random_seed_2207,internal,Fatal,feature_pedestrian_crossing,0.32961725659207319,2
random_seed_2207,internal,Fatal,feature_road_surface_conditions,0.074890075736654751,13
random_seed_2207,internal,Fatal,feature_road_type,0.28296537632886987,3
random_seed_2207,internal,Fatal,feature_second_road_class,0.26094762177082353,5
random_seed_2207,internal,Fatal,feature_speed_limit,0.3957838986486949,1
random_seed_2207,internal,Fatal,feature_trunk_road_flag,0.059055706153458565,14
random_seed_2207,internal,Fatal,feature_urban_or_rural_area,0.12985183201224676,11
random_seed_2207,internal,Fatal,feature_weather_conditions,0.26667086859042582,4
random_seed_2207,internal,Serious,feature_day_of_week,0.040850124967073381,5
random_seed_2207,internal,Serious,feature_first_road_class,0.064254041891369101,1
random_seed_2207,internal,Serious,feature_hour,0.063459634099014492,2
random_seed_2207,internal,Serious,feature_junction_control,0.030630034220138266,7
random_seed_2207,internal,Serious,feature_junction_detail,0.025456889481408652,8
random_seed_2207,internal,Serious,feature_light_conditions,0.015716725292530643,13
random_seed_2207,internal,Serious,feature_month,0.061083104944089597,3
random_seed_2207,internal,Serious,feature_pedestrian_crossing,0.023208570570507122,10
random_seed_2207,internal,Serious,feature_road_surface_conditions,0.024041380069248219,9
random_seed_2207,internal,Serious,feature_road_type,0.020175311378764146,11
random_seed_2207,internal,Serious,feature_second_road_class,0.016407936521813535,12
random_seed_2207,internal,Serious,feature_speed_limit,0.05267914281718189,4
random_seed_2207,internal,Serious,feature_trunk_road_flag,0.033338378219364688,6
random_seed_2207,internal,Serious,feature_urban_or_rural_area,0.012122727030913133,15
random_seed_2207,internal,Serious,feature_weather_conditions,0.015268723396194627,14
random_seed_2207,internal,Slight,feature_day_of_week,0.045017317094508492,13
random_seed_2207,internal,Slight,feature_first_road_class,0.062903993935248564,8
random_seed_2207,internal,Slight,feature_hour,0.089565508883431899,4
random_seed_2207,internal,Slight,feature_junction_control,0.046161670608994024,12
random_seed_2207,internal,Slight,feature_junction_detail,0.052533534523165372,10
random_seed_2207,internal,Slight,feature_light_conditions,0.063698660221727932,7
random_seed_2207,internal,Slight,feature_month,0.058000862249594318,9
random_seed_2207,internal,Slight,feature_pedestrian_crossing,0.0437380798064076,14
random_seed_2207,internal,Slight,feature_road_surface_conditions,0.032253551834645046,15
random_seed_2207,internal,Slight,feature_road_type,0.099600566797732146,3
random_seed_2207,internal,Slight,feature_second_road_class,0.10232029782216641,2
random_seed_2207,internal,Slight,feature_speed_limit,0.13277919317076678,1
random_seed_2207,internal,Slight,feature_trunk_road_flag,0.049767235006047794,11
random_seed_2207,internal,Slight,feature_urban_or_rural_area,0.089223647874097714,5
random_seed_2207,internal,Slight,feature_weather_conditions,0.067616916092160653,6
random_seed_2207,internal,overall,feature_day_of_week,0.061190159795902928,12
random_seed_2207,internal,overall,feature_first_road_class,0.091663659561277422,8
random_seed_2207,internal,overall,feature_hour,0.13054264866792845,4
random_seed_2207,internal,overall,feature_junction_control,0.11052494042478796,7
random_seed_2207,internal,overall,feature_junction_detail,0.071518139515819576,11
random_seed_2207,internal,overall,feature_light_conditions,0.044949134076433105,14
random_seed_2207,internal,overall,feature_month,0.084794120147686738,9
random_seed_2207,internal,overall,feature_pedestrian_crossing,0.13218796898966265,3
random_seed_2207,internal,overall,feature_road_surface_conditions,0.043728335880182677,15
random_seed_2207,internal,overall,feature_road_type,0.13424708483512204,2
random_seed_2207,internal,overall,feature_second_road_class,0.12655861870493448,5
random_seed_2207,internal,overall,feature_speed_limit,0.19374741154554787,1
random_seed_2207,internal,overall,feature_trunk_road_flag,0.047387106459623685,13
random_seed_2207,internal,overall,feature_urban_or_rural_area,0.077066068972419202,10
random_seed_2207,internal,overall,feature_weather_conditions,0.11651883602626038,6
random_seed_3301,future,Fatal,feature_day_of_week,0.11176526615733957,11
random_seed_3301,future,Fatal,feature_first_road_class,0.13397021736389816,10
random_seed_3301,future,Fatal,feature_hour,0.26038007335314106,7
random_seed_3301,future,Fatal,feature_junction_control,0.24176559115647298,8
random_seed_3301,future,Fatal,feature_junction_detail,0.34500433305701839,2
random_seed_3301,future,Fatal,feature_light_conditions,0.048018630622598549,15
random_seed_3301,future,Fatal,feature_month,0.14916247919710329,9
random_seed_3301,future,Fatal,feature_pedestrian_crossing,0.32097606081295588,4
random_seed_3301,future,Fatal,feature_road_surface_conditions,0.074614716026425457,13
random_seed_3301,future,Fatal,feature_road_type,0.30729697748854651,6
random_seed_3301,future,Fatal,feature_second_road_class,0.34070117085784657,3
random_seed_3301,future,Fatal,feature_speed_limit,0.43755232827132379,1
random_seed_3301,future,Fatal,feature_trunk_road_flag,0.062499665987155742,14
random_seed_3301,future,Fatal,feature_urban_or_rural_area,0.093090786158159897,12
random_seed_3301,future,Fatal,feature_weather_conditions,0.31680750939014823,5
random_seed_3301,future,Serious,feature_day_of_week,0.040696718203319715,6
random_seed_3301,future,Serious,feature_first_road_class,0.057839108717546751,3
random_seed_3301,future,Serious,feature_hour,0.060292289327284587,2
random_seed_3301,future,Serious,feature_junction_control,0.015555078112214496,13
random_seed_3301,future,Serious,feature_junction_detail,0.048028498033300053,5
random_seed_3301,future,Serious,feature_light_conditions,0.034298192223742689,7
random_seed_3301,future,Serious,feature_month,0.060482002250933371,1
random_seed_3301,future,Serious,feature_pedestrian_crossing,0.020623480304678733,10
random_seed_3301,future,Serious,feature_road_surface_conditions,0.013887626618529726,14
random_seed_3301,future,Serious,feature_road_type,0.016728134360937449,12
random_seed_3301,future,Serious,feature_second_road_class,0.020596213384311737,11
random_seed_3301,future,Serious,feature_speed_limit,0.055016773202909805,4
random_seed_3301,future,Serious,feature_trunk_road_flag,0.027675132947020592,8
random_seed_3301,future,Serious,feature_urban_or_rural_area,0.010500641490865537,15
random_seed_3301,future,Serious,feature_weather_conditions,0.021794691640267538,9
random_seed_3301,future,Slight,feature_day_of_week,0.045465624151155168,14
random_seed_3301,future,Slight,feature_first_road_class,0.05444972165861061,10
random_seed_3301,future,Slight,feature_hour,0.086130341498810145,4
random_seed_3301,future,Slight,feature_junction_control,0.055663196512555531,9
random_seed_3301,future,Slight,feature_junction_detail,0.071490331045313285,7
random_seed_3301,future,Slight,feature_light_conditions,0.053566838698514731,11
random_seed_3301,future,Slight,feature_month,0.057435333977838787,8
random_seed_3301,future,Slight,feature_pedestrian_crossing,0.047853151338198174,12
random_seed_3301,future,Slight,feature_road_surface_conditions,0.029232981048453229,15
random_seed_3301,future,Slight,feature_road_type,0.10534871174598424,3
random_seed_3301,future,Slight,feature_second_road_class,0.13299888808962379,2
random_seed_3301,future,Slight,feature_speed_limit,0.15747514754021738,1
random_seed_3301,future,Slight,feature_trunk_road_flag,0.046136213886735666,13
random_seed_3301,future,Slight,feature_urban_or_rural_area,0.077773384428277359,5
random_seed_3301,future,Slight,feature_weather_conditions,0.075587075269608756,6
random_seed_3301,future,overall,feature_day_of_week,0.065975869503938148,11
random_seed_3301,future,overall,feature_first_road_class,0.082086349246685175,10
random_seed_3301,future,overall,feature_hour,0.13560090139307859,6
random_seed_3301,future,overall,feature_junction_control,0.10432795526041433,8
random_seed_3301,future,overall,feature_junction_detail,0.15484105404521056,3
random_seed_3301,future,overall,feature_light_conditions,0.045294553848285325,14
random_seed_3301,future,overall,feature_month,0.089026605141958481,9
random_seed_3301,future,overall,feature_pedestrian_crossing,0.12981756415194426,7
random_seed_3301,future,overall,feature_road_surface_conditions,0.039245107897802806,15
random_seed_3301,future,overall,feature_road_type,0.14312460786515607,4
random_seed_3301,future,overall,feature_second_road_class,0.16476542411059403,2
random_seed_3301,future,overall,feature_speed_limit,0.2166814163381503,1
random_seed_3301,future,overall,feature_trunk_road_flag,0.045437004273637338,13
random_seed_3301,future,overall,feature_urban_or_rural_area,0.06045493735910093,12
random_seed_3301,future,overall,feature_weather_conditions,0.13806309210000819,5
random_seed_3301,internal,Fatal,feature_day_of_week,0.10479411398676505,11
random_seed_3301,internal,Fatal,feature_first_road_class,0.13442055820944829,10
random_seed_3301,internal,Fatal,feature_hour,0.24745537546769319,6
random_seed_3301,internal,Fatal,feature_junction_control,0.2368890012330036,7
random_seed_3301,internal,Fatal,feature_junction_detail,0.18937655332085404,8
random_seed_3301,internal,Fatal,feature_light_conditions,0.044217815099174593,15
random_seed_3301,internal,Fatal,feature_month,0.1387876785473226,9
random_seed_3301,internal,Fatal,feature_pedestrian_crossing,0.31743472883754897,2
random_seed_3301,internal,Fatal,feature_road_surface_conditions,0.068907529139446991,14
random_seed_3301,internal,Fatal,feature_road_type,0.3155020835893021,3
random_seed_3301,internal,Fatal,feature_second_road_class,0.28760694297055794,5
random_seed_3301,internal,Fatal,feature_speed_limit,0.38046575969086932,1
random_seed_3301,internal,Fatal,feature_trunk_road_flag,0.07007763038911341,13
random_seed_3301,internal,Fatal,feature_urban_or_rural_area,0.09157607264871552,12
random_seed_3301,internal,Fatal,feature_weather_conditions,0.29810518723715512,4
random_seed_3301,internal,Serious,feature_day_of_week,0.041674885363917794,5
random_seed_3301,internal,Serious,feature_first_road_class,0.059839393976227152,3
random_seed_3301,internal,Serious,feature_hour,0.060240127764217333,1
random_seed_3301,internal,Serious,feature_junction_control,0.014767643599160888,13
random_seed_3301,internal,Serious,feature_junction_detail,0.036218782953802979,6
random_seed_3301,internal,Serious,feature_light_conditions,0.032328728014478413,7
random_seed_3301,internal,Serious,feature_month,0.060228524212817637,2
random_seed_3301,internal,Serious,feature_pedestrian_crossing,0.020307564966813813,10
random_seed_3301,internal,Serious,feature_road_surface_conditions,0.013871912396087288,14
random_seed_3301,internal,Serious,feature_road_type,0.017336254716251658,11
random_seed_3301,internal,Serious,feature_second_road_class,0.015025187063887191,12
random_seed_3301,internal,Serious,feature_speed_limit,0.058291271599076502,4
random_seed_3301,internal,Serious,feature_trunk_road_flag,0.029309720192317656,8
random_seed_3301,internal,Serious,feature_urban_or_rural_area,0.010568345105070981,15
random_seed_3301,internal,Serious,feature_weather_conditions,0.021035637615173474,9
random_seed_3301,internal,Slight,feature_day_of_week,0.044865783243844069,13
random_seed_3301,internal,Slight,feature_first_road_class,0.057549862172444455,8
random_seed_3301,internal,Slight,feature_hour,0.085404491291449627,4
random_seed_3301,internal,Slight,feature_junction_control,0.06022163181129233,7
random_seed_3301,internal,Slight,feature_junction_detail,0.039924852393484596,14
random_seed_3301,internal,Slight,feature_light_conditions,0.054559355027522793,10
random_seed_3301,internal,Slight,feature_month,0.056602020438746785,9
random_seed_3301,internal,Slight,feature_pedestrian_crossing,0.04540847459671904,12
random_seed_3301,internal,Slight,feature_road_surface_conditions,0.028499953243368539,15
random_seed_3301,internal,Slight,feature_road_type,0.1135001313048494,2
random_seed_3301,internal,Slight,feature_second_road_class,0.10132069247367294,3
random_seed_3301,internal,Slight,feature_speed_limit,0.15371304517073917,1
random_seed_3301,internal,Slight,feature_trunk_road_flag,0.04584029154406833,11
random_seed_3301,internal,Slight,feature_urban_or_rural_area,0.075482540360192085,6
random_seed_3301,internal,Slight,feature_weather_conditions,0.076019041450210267,5
random_seed_3301,internal,overall,feature_day_of_week,0.063778260864842298,11
random_seed_3301,internal,overall,feature_first_road_class,0.083936604786039967,10
random_seed_3301,internal,overall,feature_hour,0.1310333315077867,5
random_seed_3301,internal,overall,feature_junction_control,0.10395942554781894,7
random_seed_3301,internal,overall,feature_junction_detail,0.088506729556047214,8
random_seed_3301,internal,overall,feature_light_conditions,0.043701966047058595,14
random_seed_3301,internal,overall,feature_month,0.085206074399629017,9
random_seed_3301,internal,overall,feature_pedestrian_crossing,0.12771692280036059,6
random_seed_3301,internal,overall,feature_road_surface_conditions,0.037093131592967607,15
random_seed_3301,internal,overall,feature_road_type,0.14877948987013437,2
random_seed_3301,internal,overall,feature_second_road_class,0.13465094083603937,3
random_seed_3301,internal,overall,feature_speed_limit,0.19749002548689498,1
random_seed_3301,internal,overall,feature_trunk_road_flag,0.048409214041833126,13
random_seed_3301,internal,overall,feature_urban_or_rural_area,0.059208986037992871,12
random_seed_3301,internal,overall,feature_weather_conditions,0.13171995543417961,4
random_seed_4409,future,Fatal,feature_day_of_week,0.11043520110201981,11
random_seed_4409,future,Fatal,feature_first_road_class,0.12177029062329005,10
random_seed_4409,future,Fatal,feature_hour,0.25338715122682798,6
random_seed_4409,future,Fatal,feature_junction_control,0.22441763603838991,8
random_seed_4409,future,Fatal,feature_junction_detail,0.24240166605033223,7
random_seed_4409,future,Fatal,feature_light_conditions,0.043102723658616719,15
random_seed_4409,future,Fatal,feature_month,0.14080785109023181,9
random_seed_4409,future,Fatal,feature_pedestrian_crossing,0.38608801262567455,2
random_seed_4409,future,Fatal,feature_road_surface_conditions,0.085108150719241119,13
random_seed_4409,future,Fatal,feature_road_type,0.29403132632367457,4
random_seed_4409,future,Fatal,feature_second_road_class,0.28463866220316703,5
random_seed_4409,future,Fatal,feature_speed_limit,0.4695248691370188,1
random_seed_4409,future,Fatal,feature_trunk_road_flag,0.082555440929836452,14
random_seed_4409,future,Fatal,feature_urban_or_rural_area,0.10983455776661938,12
random_seed_4409,future,Fatal,feature_weather_conditions,0.30175440830823624,3
random_seed_4409,future,Serious,feature_day_of_week,0.042904729278855573,5
random_seed_4409,future,Serious,feature_first_road_class,0.05245479433822052,4
random_seed_4409,future,Serious,feature_hour,0.065667554028869979,1
random_seed_4409,future,Serious,feature_junction_control,0.041046469225440245,6
random_seed_4409,future,Serious,feature_junction_detail,0.039759624186256545,7
random_seed_4409,future,Serious,feature_light_conditions,0.031441168443531925,9
random_seed_4409,future,Serious,feature_month,0.062621401630834114,2
random_seed_4409,future,Serious,feature_pedestrian_crossing,0.02053502627874813,12
random_seed_4409,future,Serious,feature_road_surface_conditions,0.01724286823966905,14
random_seed_4409,future,Serious,feature_road_type,0.026551308110957655,11
random_seed_4409,future,Serious,feature_second_road_class,0.029773558557753849,10
random_seed_4409,future,Serious,feature_speed_limit,0.054765465872016958,3
random_seed_4409,future,Serious,feature_trunk_road_flag,0.031950039184047214,8
random_seed_4409,future,Serious,feature_urban_or_rural_area,0.0087734910635500676,15
random_seed_4409,future,Serious,feature_weather_conditions,0.019964429828699958,13
random_seed_4409,future,Slight,feature_day_of_week,0.045614030798736528,14
random_seed_4409,future,Slight,feature_first_road_class,0.047949399065855922,12
random_seed_4409,future,Slight,feature_hour,0.085053900868651805,5
random_seed_4409,future,Slight,feature_junction_control,0.048006220455302791,11
random_seed_4409,future,Slight,feature_junction_detail,0.089186997052714767,3
random_seed_4409,future,Slight,feature_light_conditions,0.05417591282767717,8
random_seed_4409,future,Slight,feature_month,0.05294247794971034,9
random_seed_4409,future,Slight,feature_pedestrian_crossing,0.046591381307728781,13
random_seed_4409,future,Slight,feature_road_surface_conditions,0.027971665996375919,15
random_seed_4409,future,Slight,feature_road_type,0.087400157093127831,4
