dataset,seed,cohort,scope,feature,mean_abs_shap,rank,mean_signed_shap,positive_fraction,negative_fraction
cas,2207,future,Serious,feature_weather_primary,0.050363943358842672,8,0.001394863196341814,0.56292203806015961,0.43707796193984039
cas,2207,future,Serious,feature_weather_secondary,0.021887941144258433,13,0.0002305643814044277,0.66871291180683445,0.33128708819316555
cas,2207,future,overall,feature_advisory_speed,0.03824414477735235,13,-0.003383470197631239,0.10988336402701043,0.89011663597298951
cas,2207,future,overall,feature_light,0.15803976954903129,5,-0.0037303835955939013,0.45303867403314918,0.54696132596685088
cas,2207,future,overall,feature_number_of_lanes,0.2047337373653266,3,0.0081310974606764886,0.79680785758133821,0.20319214241866176
cas,2207,future,overall,feature_road_character,0.039151110154784917,12,0.0050572867298452166,0.76140781665643542,0.23859218334356455
cas,2207,future,overall,feature_road_lane,0.13809546422686064,6,-0.012379094172581212,0.81256394516063024,0.18743605483936976
cas,2207,future,overall,feature_road_surface,0.018221794767440853,15,0.00020798396035046288,0.033763044812768567,0.96623695518723141
cas,2207,future,overall,feature_speed_limit,0.27788881764893247,1,0.019655150882020449,0.52240638428483732,0.47759361571516268
cas,2207,future,overall,feature_state_highway,0.089649633713632798,8,0.0031753657728617254,0.41825250665029673,0.58174749334970333
cas,2207,future,overall,feature_street_light,0.12668183232566582,7,-0.0023274962877695908,0.38162471864129321,0.61837528135870679
cas,2207,future,overall,feature_temporary_speed_limit,0.080376131457547753,9,0.0014830323840047041,0.9695109474114999,0.030489052588500102
cas,2207,future,overall,feature_terrain,0.073996521686717692,10,-0.0027267035846375654,0.59361571516267653,0.40638428483732353
cas,2207,future,overall,feature_traffic_control,0.24657464108321003,2,0.0019900705982004874,0.73112338858195214,0.26887661141804786
cas,2207,future,overall,feature_urban,0.048964523328545416,11,-0.0037391766017852361,0.39328831594024966,0.6067116840597504
cas,2207,future,overall,feature_weather_primary,0.19614812273705665,4,0.011067059653454041,0.81665643544096578,0.18334356455903417
cas,2207,future,overall,feature_weather_secondary,0.034339557165441612,14,-0.00084232897789787242,0.84489461837528135,0.15510538162471865
cas,2207,internal,Fatal,feature_advisory_speed,0.039421019527565319,14,-0.0050759754713426601,0.57683650501330064,0.42316349498669942
cas,2207,internal,Fatal,feature_light,0.27981005005422577,6,-0.0042856929611773086,0.47247800286474317,0.52752199713525683
cas,2207,internal,Fatal,feature_number_of_lanes,0.47912250774052967,3,0.0071172395814908156,0.79517086146920402,0.20482913853079598
cas,2207,internal,Fatal,feature_road_character,0.061156239317291736,12,0.011757087932313297,0.87947616124411709,0.12052383875588296
cas,2207,internal,Fatal,feature_road_lane,0.28791780384661736,5,-0.028888851297080593,0.82872928176795579,0.17127071823204421
cas,2207,internal,Fatal,feature_road_surface,0.025620537033472422,15,-0.00074195807926924582,0.074278698588090858,0.92572130141190911
cas,2207,internal,Fatal,feature_speed_limit,0.50679835274160023,2,0.062365438889402991,0.44178432576222632,0.55821567423777374
cas,2207,internal,Fatal,feature_state_highway,0.14605338269234439,9,0.008764927743311151,0.3720073664825046,0.62799263351749535
cas,2207,internal,Fatal,feature_street_light,0.17035300226258948,8,-0.0055175228334692124,0.4982606916308574,0.5017393083691426
cas,2207,internal,Fatal,feature_temporary_speed_limit,0.20119467473669014,7,0.0004253334936836466,0.96316758747697973,0.036832412523020261
cas,2207,internal,Fatal,feature_terrain,0.11904160412145295,10,-0.0085884864339165808,0.5643544096582771,0.43564559034172295
cas,2207,internal,Fatal,feature_traffic_control,0.52368378025170914,1,-0.0070856503403353985,0.6795580110497238,0.32044198895027626
cas,2207,internal,Fatal,feature_urban,0.089537627609161813,11,-0.0062893964129486189,0.37732760384694086,0.62267239615305914
cas,2207,internal,Fatal,feature_weather_primary,0.42869718694466258,4,0.015401678574529447,0.791487620216902,0.20851237978309803
cas,2207,internal,Fatal,feature_weather_secondary,0.053983363018129886,13,-0.0036416471206689861,0.89257213014119097,0.10742786985880909
cas,2207,internal,Minor,feature_advisory_speed,0.03839206737786046,11,-0.0026690653125853738,0.097196644157970122,0.90280335584202986
cas,2207,internal,Minor,feature_light,0.13748249218400205,3,-0.0026150387657689366,0.47902598731328011,0.52097401268671983
cas,2207,internal,Minor,feature_number_of_lanes,0.083141333522991037,7,0.0024436738716301022,0.26212400245549416,0.73787599754450584
cas,2207,internal,Minor,feature_road_character,0.038631172681889432,10,-0.00025210809199241143,0.12604870063433599,0.87395129936566396
cas,2207,internal,Minor,feature_road_lane,0.097043208478575879,6,-0.011839119137892741,0.13853079598935952,0.86146920401064042
cas,2207,internal,Minor,feature_road_surface,0.01173213252769772,15,-0.00090709916385977067,0.3474524248004911,0.6525475751995089
cas,2207,internal,Minor,feature_speed_limit,0.18154704077189668,1,0.019692761527835886,0.59361571516267653,0.40638428483732353
cas,2207,internal,Minor,feature_state_highway,0.053233355163382672,8,-0.0021964495597339949,0.55003069367710256,0.4499693063228975
cas,2207,internal,Minor,feature_street_light,0.12951300458635939,5,0.0037277283565110703,0.60384694086351542,0.39615305913648458
cas,2207,internal,Minor,feature_temporary_speed_limit,0.032499193649253418,12,0.00015308019821735078,0.037446286065070597,0.96255371393492939
cas,2207,internal,Minor,feature_terrain,0.045963827843278404,9,0.00014304143071306192,0.56803765091057912,0.43196234908942094
