group,model,metric,estimate,ci_lower,ci_upper
random_seed_3301_internal,logistic_unweighted,qwk,0.00018041834219373332,-3.6932391155097832e-05,0.0005364906540687997
random_seed_3301_internal,logistic_unweighted,serious_or_fatal_recall,9.4113218201496407e-05,0,0.000235283045503741
random_seed_3301_internal,logistic_weighted,accuracy,0.48286449257323044,0.47988756119824083,0.48592492324288439
random_seed_3301_internal,logistic_weighted,fatal_recall,0.62777380100214741,0.60415175375805297,0.65211166785969932
random_seed_3301_internal,logistic_weighted,macro_f1,0.32222605027871559,0.31982599792040861,0.324680636601475
random_seed_3301_internal,logistic_weighted,mean_asymmetric_cost,0.79600240643929965,0.79082596879926981,0.80107511824744837
random_seed_3301_internal,logistic_weighted,ordinal_mae,0.69944402954111695,0.69469312712637954,0.70410157870716128
random_seed_3301_internal,logistic_weighted,qwk,0.094963478785997091,0.090823618375556803,0.09898774220788896
random_seed_3301_internal,logistic_weighted,serious_or_fatal_recall,0.61088889934591317,0.60434803068090914,0.6173838878170439
random_seed_4409_2024,dummy_most_frequent,accuracy,0.75161255164623941,0.75161255164623941,0.75161255164623941
random_seed_4409_2024,dummy_most_frequent,fatal_recall,0,0,0
random_seed_4409_2024,dummy_most_frequent,macro_f1,0.28606499420199677,0.28606499420199677,0.28606499420199677
random_seed_4409_2024,dummy_most_frequent,mean_asymmetric_cost,0.54142102707897788,0.54142102707897788,0.54142102707897788
random_seed_4409_2024,dummy_most_frequent,ordinal_mae,0.26326949181091286,0.26326949181091286,0.26326949181091286
random_seed_4409_2024,dummy_most_frequent,qwk,0,0,0
random_seed_4409_2024,dummy_most_frequent,serious_or_fatal_recall,0,0,0
random_seed_4409_2024,lightgbm_weighted,accuracy,0.5944791780197568,0.5916848316109663,0.59732331288951424
random_seed_4409_2024,lightgbm_weighted,fatal_recall,0.20505992010652463,0.18508655126498003,0.22503328894806923
random_seed_4409_2024,lightgbm_weighted,macro_f1,0.36484529908269719,0.3616383211239238,0.36801336894819375
random_seed_4409_2024,lightgbm_weighted,mean_asymmetric_cost,0.6305052166417312,0.62603664034401096,0.63479569391738588
random_seed_4409_2024,lightgbm_weighted,ordinal_mae,0.45996611412208827,0.45646804125754259,0.46344412297997567
random_seed_4409_2024,lightgbm_weighted,qwk,0.095331370311447006,0.088972468902379295,0.10166574868549354
random_seed_4409_2024,lightgbm_weighted,serious_or_fatal_recall,0.40867206510032311,0.40260879971279268,0.41465555068012289
random_seed_4409_2024,logistic_unweighted,accuracy,0.75161255164623941,0.75161255164623941,0.75161255164623941
random_seed_4409_2024,logistic_unweighted,fatal_recall,0,0,0
random_seed_4409_2024,logistic_unweighted,macro_f1,0.28606499420199677,0.28606499420199677,0.28606499420199677
random_seed_4409_2024,logistic_unweighted,mean_asymmetric_cost,0.54142102707897788,0.54142102707897788,0.54142102707897788
random_seed_4409_2024,logistic_unweighted,ordinal_mae,0.26326949181091286,0.26326949181091286,0.26326949181091286
random_seed_4409_2024,logistic_unweighted,qwk,0,0,0
random_seed_4409_2024,logistic_unweighted,serious_or_fatal_recall,0,0,0
random_seed_4409_2024,logistic_weighted,accuracy,0.55341979846819978,0.55065542421750369,0.55623371347607675
random_seed_4409_2024,logistic_weighted,fatal_recall,0.4773635153129161,0.45272969374167776,0.50266311584553924
random_seed_4409_2024,logistic_weighted,macro_f1,0.34185478243063944,0.3393357145624058,0.34439341737237733
random_seed_4409_2024,logistic_weighted,mean_asymmetric_cost,0.72354275862752282,0.71848960139506768,0.72843763314078491
random_seed_4409_2024,logistic_weighted,ordinal_mae,0.57104639987317563,0.56692411346815019,0.57528733639164942
random_seed_4409_2024,logistic_weighted,qwk,0.097336855841926195,0.092104458515200119,0.10263115639292018
random_seed_4409_2024,logistic_weighted,serious_or_fatal_recall,0.4486816386772508,0.44249870357812437,0.45470601140851247
random_seed_4409_internal,dummy_most_frequent,accuracy,0.77957223466932202,0.77957223466932202,0.77957223466932202
random_seed_4409_internal,dummy_most_frequent,fatal_recall,0,0,0
random_seed_4409_internal,dummy_most_frequent,macro_f1,0.2920448032329826,0.2920448032329826,0.2920448032329826
random_seed_4409_internal,dummy_most_frequent,mean_asymmetric_cost,0.48432702680275497,0.48432702680275497,0.48432702680275497
random_seed_4409_internal,dummy_most_frequent,ordinal_mae,0.23491826404447763,0.23491826404447763,0.23491826404447763
random_seed_4409_internal,dummy_most_frequent,qwk,0,0,0
random_seed_4409_internal,dummy_most_frequent,serious_or_fatal_recall,0,0,0
random_seed_4409_internal,lightgbm_weighted,accuracy,0.54597128868973532,0.54269355240229022,0.54888624388017593
random_seed_4409_internal,lightgbm_weighted,fatal_recall,0.39226914817465997,0.36576592698639943,0.41875447387258413
random_seed_4409_internal,lightgbm_weighted,macro_f1,0.35576402819966674,0.35277974014355296,0.35868656529456666
random_seed_4409_internal,lightgbm_weighted,mean_asymmetric_cost,0.65672973197245044,0.65200968799269776,0.66170909053190607
random_seed_4409_internal,lightgbm_weighted,ordinal_mae,0.54056717284872624,0.53666682225541451,0.54478907352086958
random_seed_4409_internal,lightgbm_weighted,qwk,0.11662473957319763,0.11132087352303534,0.12188588971769122
random_seed_4409_internal,lightgbm_weighted,serious_or_fatal_recall,0.55291515693379134,0.54632605524445899,0.5596442520351983
random_seed_4409_internal,logistic_unweighted,accuracy,0.77958260725251016,0.77957223466932202,0.77960361173346615
random_seed_4409_internal,logistic_unweighted,fatal_recall,0,0,0
random_seed_4409_internal,logistic_unweighted,macro_f1,0.29208008224776943,0.2920448032329826,0.29215151191454947
random_seed_4409_internal,logistic_unweighted,mean_asymmetric_cost,0.48430628163637873,0.48426427267446687,0.48432702680275497
random_seed_4409_internal,logistic_unweighted,ordinal_mae,0.23490789146128951,0.23488688698033358,0.23491826404447763
random_seed_4409_internal,logistic_unweighted,qwk,6.0141953731940312e-05,0,0.00018192170306980404
random_seed_4409_internal,logistic_unweighted,serious_or_fatal_recall,4.7056609100748203e-05,0,0.00014234624252975689
random_seed_4409_internal,logistic_weighted,accuracy,0.48096630984980498,0.47766782839598376,0.4838086569579288
random_seed_4409_internal,logistic_weighted,fatal_recall,0.65068002863278451,0.62562634216177526,0.67644953471725122
random_seed_4409_internal,logistic_weighted,macro_f1,0.32289635430257063,0.32026101593966361,0.32536993753173715
random_seed_4409_internal,logistic_weighted,mean_asymmetric_cost,0.79546303211351754,0.79049456476640945,0.80097165173014684
random_seed_4409_internal,logistic_weighted,ordinal_mae,0.70142519293004735,0.69710916106547172,0.7063832876939673
random_seed_4409_internal,logistic_weighted,qwk,0.097682667486339914,0.093498169185708649,0.1017365272065722
random_seed_4409_internal,logistic_weighted,serious_or_fatal_recall,0.61931203237494703,0.61291233353724528,0.62566467460354802
random_seed_5501_2024,dummy_most_frequent,accuracy,0.75161255164623941,0.75161255164623941,0.75161255164623941
random_seed_5501_2024,dummy_most_frequent,fatal_recall,0,0,0
random_seed_5501_2024,dummy_most_frequent,macro_f1,0.28606499420199677,0.28606499420199677,0.28606499420199677
random_seed_5501_2024,dummy_most_frequent,mean_asymmetric_cost,0.54142102707897788,0.54142102707897788,0.54142102707897788
random_seed_5501_2024,dummy_most_frequent,ordinal_mae,0.26326949181091286,0.26326949181091286,0.26326949181091286
random_seed_5501_2024,dummy_most_frequent,qwk,0,0,0
random_seed_5501_2024,dummy_most_frequent,serious_or_fatal_recall,0,0,0
random_seed_5501_2024,lightgbm_weighted,accuracy,0.59549971761768405,0.59273534336698797,0.59833369663221936
random_seed_5501_2024,lightgbm_weighted,fatal_recall,0.24766977363515313,0.22636484687083888,0.26965712383488671
random_seed_5501_2024,lightgbm_weighted,macro_f1,0.36631973482003893,0.36325935863917164,0.36954592941855174
