group,candidate,reference,metric,delta,ci_lower,ci_upper,design,iterations
random_seed_2207_internal,lightgbm_weighted,logistic_weighted,fatal_recall,-0.26323319027181685,-0.28755364806866951,-0.2381974248927039,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,logistic_weighted,macro_f1,0.030700959943150474,0.027808993402961831,0.033526879366523508,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,logistic_weighted,mean_asymmetric_cost,-0.13622313500954275,-0.14097455605343956,-0.13139962451248854,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,logistic_weighted,ordinal_mae,-0.15852418886399466,-0.16271497178657368,-0.15436452369098008,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,logistic_weighted,qwk,0.017457730070139732,0.013116549195763794,0.021601015243542535,paired_true_class_stratified,2000
random_seed_2207_internal,lightgbm_weighted,logistic_weighted,serious_or_fatal_recall,-0.066534914361001229,-0.072559053265575046,-0.060322557876905721,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,dummy_most_frequent,accuracy,-0.15171361479088852,-0.15451886016625882,-0.14886997532870294,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,dummy_most_frequent,fatal_recall,0.16178428761651131,0.14447403462050598,0.18042609853528629,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,dummy_most_frequent,macro_f1,0.077146581671144632,0.07388019560137675,0.080417212774771971,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,dummy_most_frequent,mean_asymmetric_cost,0.083159115003913708,0.078670226995749368,0.08749913303674936,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,dummy_most_frequent,ordinal_mae,0.18500500361647526,0.18153640750245226,0.18852264508010738,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,dummy_most_frequent,qwk,0.086756604340350485,0.080667045912467331,0.09306614800763513,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,dummy_most_frequent,serious_or_fatal_recall,0.39064182855319318,0.38485779249272012,0.39662631138058957,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,logistic_unweighted,accuracy,-0.15171361479088852,-0.15451886016625882,-0.14886997532870294,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,logistic_unweighted,fatal_recall,0.16178428761651131,0.14447403462050598,0.18042609853528629,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,logistic_unweighted,macro_f1,0.077146581671144632,0.07388019560137675,0.080417212774771971,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,logistic_unweighted,mean_asymmetric_cost,0.083159115003913708,0.078670226995749368,0.08749913303674936,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,logistic_unweighted,ordinal_mae,0.18500500361647526,0.18153640750245226,0.18852264508010738,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,logistic_unweighted,qwk,0.086756604340350485,0.080667045912467331,0.09306614800763513,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,logistic_unweighted,serious_or_fatal_recall,0.39064182855319318,0.38485779249272012,0.39662631138058957,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,logistic_weighted,accuracy,0.039147106324373016,0.036332695908924337,0.041951856292171505,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,logistic_weighted,fatal_recall,-0.29560585885486018,-0.32090545938748333,-0.27097203728362185,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,logistic_weighted,macro_f1,0.019473250983423507,0.016131281534538383,0.0228256805077789,paired_true_class_stratified,2000
