group,split,role,rows,model,macro_f1,qwk,ordinal_mae,accuracy,slight_recall,serious_recall,fatal_recall,serious_or_fatal_recall,mean_asymmetric_cost,class0_precision,class0_recall,class1_precision,class1_recall,class2_precision,class2_recall,log_loss
random_seed_2207_2024,random_seed_2207,future,100927,logistic_unweighted,0.28606499420199677,0,0.26326949181091286,0.75161255164623941,1,0,0,0,0.54142102707897788,0.75161255164623941,1,0,0,0,0,0.61395475570664859
random_seed_2207_2024,random_seed_2207,future,100927,logistic_weighted,0.34018314974237979,0.099077655214211191,0.57570323104818333,0.55217137138724026,0.66163094202325401,0.2035897653498536,0.49334221038615178,0.44999800550480673,0.72739702953619945,0.78448841789365098,0.66163094202325401,0.26188526827138259,0.2035897653498536,0.039778827571397897,0.49334221038615178,0.92123994428424338
random_seed_2207_internal,random_seed_2207,internal,96408,dummy_most_frequent,0.29204261966379891,0,0.23493900921085387,0.77956186208613398,1,0,0,0,0.48437888971869553,0.77956186208613398,1,0,0,0,0,7.9453958367097925
random_seed_2207_internal,random_seed_2207,internal,96408,lightgbm_weighted,0.35219760626996233,0.11597735573716694,0.54386565430254752,0.5432744170608248,0.59416413859172923,0.3622947516873174,0.37768240343347642,0.55119518162996428,0.66084764749813296,0.82399940951783446,0.59416413859172923,0.23847097437257567,0.3622947516873174,0.043810155990706937,0.37768240343347642,0.87464452589231745
random_seed_2207_internal,random_seed_2207,internal,96408,logistic_unweighted,0.29203121994439168,2.7931707166750641e-05,0.23499087212679445,0.77949962658700522,0.99992016605460643,0,0,4.7054394880481836e-05,0.484420380051448,0.7795562286698271,0.99992016605460643,0,0,0,0,0.56131655422176685
random_seed_2207_internal,random_seed_2207,internal,96408,logistic_weighted,0.3214966463268118,0.0985196256670271,0.70238984316654218,0.48140195834370592,0.53596519239980844,0.26362445854739597,0.64091559370529327,0.61773009599096551,0.79707078250767571,0.83216609854353885,0.53596519239980844,0.22863882579066924,0.26362445854739597,0.035681573812273507,0.64091559370529327,1.0120556924337369
random_seed_3301_2024,random_seed_3301,future,100927,dummy_most_frequent,0.28606499420199677,0,0.26326949181091286,0.75161255164623941,1,0,0,0,0.54142102707897788,0.75161255164623941,1,0,0,0,0,8.9527910946701859
random_seed_3301_2024,random_seed_3301,future,100927,lightgbm_weighted,0.3632115758731414,0.086756604340350485,0.44827449542738812,0.59989893685535089,0.69922750402067024,0.30810030975516611,0.16178428761651131,0.39064182855319318,0.62458014208289159,0.77639860651658421,0.69922750402067024,0.27426909420563572,0.30810030975516611,0.039608801955990217,0.16178428761651131,0.79758963309541897
random_seed_3301_2024,random_seed_3301,future,100927,logistic_unweighted,0.28606499420199677,0,0.26326949181091286,0.75161255164623941,1,0,0,0,0.54142102707897788,0.75161255164623941,1,0,0,0,0,0.61467789040505727
random_seed_3301_2024,random_seed_3301,future,100927,logistic_weighted,0.34373832488971795,0.097484855872890241,0.55933496487560319,0.56075183053097788,0.67179466898679108,0.20991216531590784,0.45739014647137149,0.4374725756910926,0.71521000326968998,0.78325622857845478,0.67179466898679108,0.26684287178380711,0.20991216531590784,0.039653679653679656,0.45739014647137149,0.91268360774272972
random_seed_3301_internal,random_seed_3301,internal,96408,dummy_most_frequent,0.29204480323298265,0,0.23491826404447763,0.77957223466932202,1,0,0,0,0.48432702680275497,0.77957223466932202,1,0,0,0,0,7.9450219709166108
random_seed_3301_internal,random_seed_3301,internal,96408,lightgbm_weighted,0.35192927448569017,0.11019892616209559,0.54514148203468593,0.54317069122894368,0.59404978910813366,0.36249622242369295,0.37365783822476734,0.54533904286857093,0.66351340137747905,0.82209210259809606,0.59404978910813366,0.23935745643208728,0.36249622242369295,0.043387914554068659,0.37365783822476734,0.87837793942788966
random_seed_3301_internal,random_seed_3301,internal,96408,logistic_unweighted,0.29207959756087015,0.00018041834219351127,0.23490789146128951,0.77957223466932202,0.99998669451947253,5.0367684093885361e-05,0,9.4113218201496407e-05,0.48429590905319059,0.77958612105181269,0.99998669451947253,0.33333333333333331,5.0367684093885361e-05,0,0,0.56198953221512837
random_seed_3301_internal,random_seed_3301,internal,96408,logistic_weighted,0.32222605027871559,0.094963478785997202,0.69944402954111695,0.48286449257323044,0.53715555437284612,0.26715019643396798,0.62777380100214741,0.61088889934591317,0.79600240643929965,0.82999588815789471,0.53715555437284612,0.23026829903620735,0.26715019643396798,0.035457265302822026,0.62777380100214741,1.0100968537737516
random_seed_4409_2024,random_seed_4409,future,100927,dummy_most_frequent,0.28606499420199677,0,0.26326949181091286,0.75161255164623941,1,0,0,0,0.54142102707897788,0.75161255164623941,1,0,0,0,0,8.9527910946701859
random_seed_4409_2024,random_seed_4409,future,100927,lightgbm_weighted,0.36484529908269719,0.095331370311447117,0.45996611412208827,0.5944791780197568,0.69067204513696645,0.30967030169304538,0.20505992010652463,0.40867206510032311,0.6305052166417312,0.77946055313387985,0.69067204513696645,0.27579170130753533,0.30967030169304538,0.042494481236203092,0.20505992010652463,0.80524677781678888
random_seed_4409_2024,random_seed_4409,future,100927,logistic_unweighted,0.28606499420199677,0,0.26326949181091286,0.75161255164623941,1,0,0,0,0.54142102707897788,0.75161255164623941,1,0,0,0,0,0.61407012001235484
random_seed_4409_2024,random_seed_4409,future,100927,logistic_weighted,0.34185478243063944,0.097336855841926084,0.57104639987317563,0.55341979846819978,0.66107727596298349,0.21173675054101074,0.4773635153129161,0.4486816386772508,0.72354275862752282,0.78394222201378794,0.66107727596298349,0.26370025894414206,0.21173675054101074,0.039756029941779875,0.4773635153129161,0.91952310337892085
random_seed_4409_internal,random_seed_4409,internal,96408,dummy_most_frequent,0.29204480323298265,0,0.23491826404447763,0.77957223466932202,1,0,0,0,0.48432702680275497,0.77957223466932202,1,0,0,0,0,7.9450219709166108
random_seed_4409_internal,random_seed_4409,internal,96408,lightgbm_weighted,0.35576402819966663,0.11662473957319763,0.54056717284872624,0.54597128868973532,0.59520736591402001,0.37040394882643296,0.39226914817465997,0.55291515693379134,0.65672973197245044,0.82481792200608461,0.59520736591402001,0.2428425189049962,0.37040394882643296,0.046089150546677879,0.39226914817465997,0.87357695817055991
random_seed_4409_internal,random_seed_4409,internal,96408,logistic_unweighted,0.29208008224776943,6.0141953731718267e-05,0.23490789146128951,0.77958260725251016,1,5.0367684093885361e-05,0,4.7056609100748203e-05,0.48430628163637873,0.77958032093105267,1,1,5.0367684093885361e-05,0,0,0.56130172235411102
random_seed_4409_internal,random_seed_4409,internal,96408,logistic_weighted,0.32289635430257063,0.097682667486339803,0.70142519293004735,0.48096630984980498,0.53301754992881567,0.27198549410698097,0.65068002863278451,0.61931203237494703,0.79546303211351754,0.83198338525441329,0.53301754992881567,0.23075936925772403,0.27198549410698097,0.036569175684917729,0.65068002863278451,1.011704570384554
random_seed_5501_2024,random_seed_5501,future,100927,dummy_most_frequent,0.28606499420199677,0,0.26326949181091286,0.75161255164623941,1,0,0,0,0.54142102707897788,0.75161255164623941,1,0,0,0,0,8.9527910946701859
random_seed_5501_2024,random_seed_5501,future,100927,lightgbm_weighted,0.36631973482003888,0.10197094496706538,0.4640383643623609,0.59549971761768405,0.69532547654828758,0.29634658632834049,0.24766977363515313,0.40911085404284175,0.63320023383237389,0.78073979780636182,0.69532547654828758,0.27695602173137168,0.29634658632834049,0.045638571954361426,0.24766977363515313,0.8120104451143858
random_seed_5501_2024,random_seed_5501,future,100927,logistic_unweighted,0.28609489930585702,4.9820369513953189e-05,0.26325958365947666,0.7516224597976755,1,4.24322145372767e-05,0,3.9889903865331685e-05,0.54140121077610548,0.75161999881101005,1,1,4.24322145372767e-05,0,0,0.61843270591788735
random_seed_5501_2024,random_seed_5501,future,100927,logistic_weighted,0.33742745908447341,0.10218630586808897,0.59658961427566459,0.54256046449413931,0.64931846344485755,0.19862519624899225,0.54727030625832229,0.4697435079181459,0.74177375727010608,0.78747861676445663,0.64931846344485755,0.26123109548523915,0.19862519624899225,0.040177916809228213,0.54727030625832229,0.93541327701600119
random_seed_5501_internal,random_seed_5501,internal,96408,dummy_most_frequent,0.29204480323298265,0,0.23491826404447763,0.77957223466932202,1,0,0,0,0.48432702680275497,0.77957223466932202,1,0,0,0,0,7.9450219709166108
random_seed_5501_internal,random_seed_5501,internal,96408,lightgbm_weighted,0.35363301805494896,0.11486343570790702,0.54132437142145884,0.54494440295411173,0.59454209188764851,0.3695980658809308,0.36864710093056552,0.55216225118817941,0.65833748236660861,0.82441283371155516,0.59454209188764851,0.24157229391624968,0.3695980658809308,0.043529710083678473,0.36864710093056552,0.87664814499323596
random_seed_5501_internal,random_seed_5501,internal,96408,logistic_unweighted,0.29206381510049545,0.00017140441767926617,0.23498049954360634,0.77948925400381708,0.9998802506752531,5.0367684093885361e-05,0,0.0001411698273022446,0.48435814455231929,0.7795759160131126,0.9998802506752531,0.083333333333333329,5.0367684093885361e-05,0,0,0.56153757125732384
random_seed_5501_internal,random_seed_5501,internal,96408,logistic_weighted,0.32404695850855431,0.097970224900010394,0.69779478881420631,0.48488714629491331,0.5393642641403994,0.26699909338168631,0.65068002863278451,0.61380640911015949,0.79304622023068627,0.83163055965862465,0.5393642641403994,0.23253059613106988,0.26699909338168631,0.036554469779225482,0.65068002863278451,1.0122563932199786
temporal_2024,temporal,future,100927,dummy_most_frequent,0.28606499420199677,0,0.26326949181091286,0.75161255164623941,1,0,0,0,0.54142102707897788,0.75161255164623941,1,0,0,0,0,8.9527910946701859
temporal_2024,temporal,future,100927,lightgbm_weighted,0.36578988815018154,0.10465569181872225,0.47676043080642444,0.58678054435383986,0.67971736665875715,0.30784571646794245,0.26964047936085217,0.43025250309146756,0.64001704202047027,0.7830814792315286,0.67971736665875715,0.27653897465218219,0.30784571646794245,0.045778229908443539,0.26964047936085217,0.82684309897174901
temporal_2024,temporal,future,100927,logistic_unweighted,0.28606499420199677,0,0.26326949181091286,0.75161255164623941,1,0,0,0,0.54142102707897788,0.75161255164623941,1,0,0,0,0,0.6133629683726205
temporal_2024,temporal,future,100927,logistic_weighted,0.33716295512088085,0.10518005372175354,0.60816233515313045,0.53703171599274724,0.64034116375332861,0.20240166334280987,0.56990679094540608,0.48737484542662252,0.74829332091511691,0.79078891674535212,0.64034116375332861,0.26433915211970077,0.20240166334280987,0.039895600298284865,0.56990679094540608,0.94379727485113041
