evaluation_group,evaluation_design,seed,metric,higher_is_better,contrast,logistic_value,lightgbm_value,point_difference,ci_lower,ci_upper,iterations,valid_iterations,bootstrap_design
random_seed_1103_internal_test,random_internal_test,1103,minor_recall,True,lightgbm_minus_logistic,0.53410283315844698,0.61385099685204614,0.079748163693599161,0.064270724029380832,0.096274921301154226,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,ordinal_mae,False,lightgbm_minus_logistic,0.73623900143237164,0.62696951094741149,-0.10926949048496015,-0.12830468590137098,-0.089830161653366103,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,qwk,True,lightgbm_minus_logistic,0.096366361350376462,0.093652506605004682,-0.0027138547453717798,-0.020235303934170369,0.015011675044664212,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,serious_or_fatal_recall,True,lightgbm_minus_logistic,0.61953488372093024,0.5106976744186047,-0.10883720930232554,-0.13860465116279069,-0.07999999999999996,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,serious_recall,True,lightgbm_minus_logistic,0.23673036093418259,0.23248407643312102,-0.0042462845010615702,-0.039278131634819524,0.028662420382165599,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,accuracy,True,lightgbm_minus_logistic,0.47486245494213619,0.47457787896034909,-0.00028457598178710519,-0.010434452665528393,0.01052931132612406,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,fatal_recall,True,lightgbm_minus_logistic,0.58301158301158296,0.38610038610038611,-0.19691119691119685,-0.25482625482625482,-0.138996138996139,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,macro_f1,True,lightgbm_minus_logistic,0.32783848742662824,0.32651410696966471,-0.0013243804569635365,-0.010464138287231917,0.0082335448970228854,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,mean_asymmetric_cost,False,lightgbm_minus_logistic,0.83380762663631192,0.80335799658508822,-0.030449630051223697,-0.047905995067349667,-0.013659647125782604,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,minor_recall,True,lightgbm_minus_logistic,0.52468985648260769,0.51009486742884946,-0.014594989053758223,-0.026149355387983464,-0.0026757479931889261,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,ordinal_mae,False,lightgbm_minus_logistic,0.73714665148928094,0.68782014797951052,-0.049326503509770414,-0.063745019920318668,-0.035000474293302948,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,qwk,True,lightgbm_minus_logistic,0.10377574560943981,0.076849782269116762,-0.026925963340323045,-0.039123518700725751,-0.014591482133902153,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,serious_or_fatal_recall,True,lightgbm_minus_logistic,0.6538793103448276,0.61206896551724133,-0.041810344827586277,-0.062941810344827681,-0.019827586206896616,2000,2000,paired_stratified
random_seed_2207_2025_diagnostic,random_2025_diagnostic,2207,serious_recall,True,lightgbm_minus_logistic,0.26249393498301793,0.34400776322173704,0.08151382823871911,0.056768558951965087,0.10625909752547308,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,accuracy,True,lightgbm_minus_logistic,0.47472887251892776,0.48393697564968285,0.0092081031307550965,-0.0059341109064866004,0.024350317167996738,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,fatal_recall,True,lightgbm_minus_logistic,0.63157894736842102,0.47368421052631576,-0.15789473684210525,-0.23308270676691734,-0.075187969924812081,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,macro_f1,True,lightgbm_minus_logistic,0.32966684123630347,0.33371354493827643,0.0040467037019729646,-0.0097496459008129966,0.017826080796004163,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,mean_asymmetric_cost,False,lightgbm_minus_logistic,0.84509924288929816,0.79230611827296915,-0.052793124616329012,-0.076529568242275414,-0.029051565377532222,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,minor_recall,True,lightgbm_minus_logistic,0.525183630640084,0.526495278069255,0.0013116474291710034,-0.015477439664218218,0.017576075550891912,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,ordinal_mae,False,lightgbm_minus_logistic,0.74626560261919372,0.67669326785348882,-0.069572334765704902,-0.089830161653366103,-0.049314507878043812,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,qwk,True,lightgbm_minus_logistic,0.10163089326613706,0.096238597661532976,-0.0053922956046040804,-0.022685268915599056,0.011539534433200938,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,serious_or_fatal_recall,True,lightgbm_minus_logistic,0.64186046511627903,0.60465116279069764,-0.037209302325581395,-0.066976744186046488,-0.0083720930232558111,2000,2000,paired_stratified
random_seed_2207_internal_test,random_internal_test,2207,serious_recall,True,lightgbm_minus_logistic,0.24840764331210191,0.31316348195329086,0.064755838641188945,0.027600849256900206,0.10084925690021229,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,accuracy,True,lightgbm_minus_logistic,0.478561942705369,0.49981028267880856,0.021248339973439556,0.012711060519825457,0.029977708214760028,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,fatal_recall,True,lightgbm_minus_logistic,0.56370656370656369,0.39768339768339767,-0.16602316602316602,-0.22393822393822388,-0.11196911196911191,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,macro_f1,True,lightgbm_minus_logistic,0.32768939746585452,0.33410856302899056,0.0064191655631360423,-0.0013711199131253501,0.014381782158580353,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,mean_asymmetric_cost,False,lightgbm_minus_logistic,0.8366533864541833,0.78495541642952005,-0.051697970024663253,-0.066685638398785829,-0.036520584329349348,2000,2000,paired_stratified
