evaluation_scope,split_slug,protocol,seed,model,family,reporting_role,test_rows,transform_seconds,prediction_seconds,unseen_total,unseen_by_feature,preprocessor_action,preprocessor_fit_operations
random_reference_test,random_seed_4409,random_reference,4409,dummy_most_frequent,D8,primary_floor,96408,0.9483678000397049,0.004125299979932606,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_4409,random_reference,4409,logistic_unweighted,D8,secondary_linear_baseline,96408,0.8986973999999464,0.03691739996429533,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_4409,random_reference,4409,logistic_weighted,D8,primary_linear_comparator,96408,0.898374899988994,0.04259630001615733,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_4409,random_reference,4409,ordered_logit_unweighted,D9,secondary_ordinal_baseline,96408,1.3438592000165954,0.021543599956203252,1,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 1, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_4409,random_reference,4409,lightgbm_weighted,D10,primary_nonlinear_comparator,96408,0.27349449996836483,12.609988500014879,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_5501,random_reference,5501,dummy_most_frequent,D8,primary_floor,96408,0.9980883999960497,0.0037193999742157757,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_5501,random_reference,5501,logistic_unweighted,D8,secondary_linear_baseline,96408,0.9998780000023544,0.035329499980434775,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_5501,random_reference,5501,logistic_weighted,D8,primary_linear_comparator,96408,0.883235200017225,0.026228100003208965,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_5501,random_reference,5501,ordered_logit_unweighted,D9,secondary_ordinal_baseline,96408,1.3939912000205368,0.02242410002509132,1,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 1, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_reference_test,random_seed_5501,random_reference,5501,lightgbm_weighted,D10,primary_nonlinear_comparator,96408,0.4368036999949254,12.831366700003855,0,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 0, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
