protocol,seed,encoded_position,encoded_feature
temporal,year_based,135,categorical__feature_hour_H02
temporal,year_based,136,categorical__feature_hour_H03
temporal,year_based,137,categorical__feature_hour_H04
temporal,year_based,138,categorical__feature_hour_H05
temporal,year_based,139,categorical__feature_hour_H06
temporal,year_based,140,categorical__feature_hour_H07
temporal,year_based,141,categorical__feature_hour_H08
temporal,year_based,142,categorical__feature_hour_H09
temporal,year_based,143,categorical__feature_hour_H10
temporal,year_based,144,categorical__feature_hour_H11
temporal,year_based,145,categorical__feature_hour_H12
temporal,year_based,146,categorical__feature_hour_H13
temporal,year_based,147,categorical__feature_hour_H14
temporal,year_based,148,categorical__feature_hour_H15
temporal,year_based,149,categorical__feature_hour_H16
temporal,year_based,150,categorical__feature_hour_H17
temporal,year_based,151,categorical__feature_hour_H18
temporal,year_based,152,categorical__feature_hour_H19
temporal,year_based,153,categorical__feature_hour_H20
temporal,year_based,154,categorical__feature_hour_H21
temporal,year_based,155,categorical__feature_hour_H22
temporal,year_based,156,categorical__feature_hour_H23
temporal,year_based,157,categorical__feature_hour___UNSEEN__
temporal,year_based,158,numeric__feature_speed_limit
random_reference,1103,0,categorical__feature_day_of_week_1:Sunday
random_reference,1103,1,categorical__feature_day_of_week_2:Monday
random_reference,1103,2,categorical__feature_day_of_week_3:Tuesday
random_reference,1103,3,categorical__feature_day_of_week_4:Wednesday
random_reference,1103,4,categorical__feature_day_of_week_5:Thursday
random_reference,1103,5,categorical__feature_day_of_week_6:Friday
random_reference,1103,6,categorical__feature_day_of_week_7:Saturday
random_reference,1103,7,categorical__feature_day_of_week___UNSEEN__
random_reference,1103,8,categorical__feature_first_road_class_1:Motorway
random_reference,1103,9,categorical__feature_first_road_class_2:A(M)
random_reference,1103,10,categorical__feature_first_road_class_3:A
random_reference,1103,11,categorical__feature_first_road_class_4:B
random_reference,1103,12,categorical__feature_first_road_class_5:C
random_reference,1103,13,categorical__feature_first_road_class_6:Unclassified
random_reference,1103,14,categorical__feature_first_road_class___UNSEEN__
random_reference,1103,15,categorical__feature_road_type_1:Roundabout
random_reference,1103,16,categorical__feature_road_type_2:One way street
random_reference,1103,17,categorical__feature_road_type_3:Dual carriageway
random_reference,1103,18,categorical__feature_road_type_6:Single carriageway
random_reference,1103,19,categorical__feature_road_type_7:Slip road
random_reference,1103,20,categorical__feature_road_type_9:Unknown
random_reference,1103,21,categorical__feature_road_type___UNSEEN__
random_reference,1103,22,categorical__feature_junction_detail_-1:Data missing or out of range
