column_position,field_name,official_field_name,dictionary_name_match,official_dictionary_entry,years_present,present_all_years,official_format,official_codes_and_labels,official_note,d2_role,final_D3_decision
25,junction_control,junction_control,exact,True,2018;2019;2020;2021;2022;2023;2024,True,,0=Not at junction or within 20 metres | 1=Authorised person | 2=Auto traffic signal | 3=Stop sign | 4=Give way or uncontrolled | -1=Data missing or out of range | 9=unknown (self reported),,reviewed_candidate,PENDING
26,second_road_class,second_road_class,exact,True,2018;2019;2020;2021;2022;2023;2024,True,,0=Not at junction or within 20 metres | 1=Motorway | 2=A(M) | 3=A | 4=B | 5=C | 6=Unclassified | 9=Unknown (self rep only) | -1=Data missing or out of range,,not_yet_decided,PENDING
27,second_road_number,second_road_number,exact,True,2018;2019;2020;2021;2022;2023;2024,True,1 to 9999,-1=Unknown | 0=first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,,not_yet_decided,PENDING
28,pedestrian_crossing_human_control_historic,pedestrian_crossing_human_control_historic,exact,True,2018;2019;2020;2021;2022;2023;2024,True,,0=None within 50 metres | 1=Control by school crossing patrol | 2=Control by other authorised person | -1=Data missing or out of range | 9=unknown (self reported),data collected in the 2011 STATS19 specification (or earlier),historic_version,PENDING
29,pedestrian_crossing_physical_facilities_historic,pedestrian_crossing_physical_facilities_historic,exact,True,2018;2019;2020;2021;2022;2023;2024,True,,"0=No physical crossing facilities within 50 metres | 1=Zebra | 4=Pelican, puffin, toucan or similar non-junction pedestrian light crossing | 5=Pedestrian phase at traffic signal junction | 7=Footbridge or subway | 8=Central refuge | -1=Data missing or out of range | 9=unknown (self reported)",data collected in the 2011 STATS19 specification (or earlier),historic_version,PENDING
30,pedestrian_crossing,pedestrian_crossing,exact,True,2018;2019;2020;2021;2022;2023;2024,True,,0=No physical crossing facility within 50m | 11=Human crossing control by school crossing patrol | 12=Human crossing control by other authorised person | 13=Zebra crossing | 14=Pedestrian light crossing (pelican or puffin or toucan or similar) | 15=Pedestrian phase at traffic signal | 16=Footbridge or subway | 17=Central refuge - no other controls | 99=unknown (self reported) | -1=Data missing or out of range,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification,current_harmonized_version,PENDING
31,light_conditions,light_conditions,exact,True,2018;2019;2020;2021;2022;2023;2024,True,,1=Daylight | 4=Darkness - lights lit | 5=Darkness - lights unlit | 6=Darkness - no lighting | 7=Darkness - lighting unknown | -1=Data missing or out of range,,reviewed_candidate,PENDING
32,weather_conditions,weather_conditions,exact,True,2018;2019;2020;2021;2022;2023;2024,True,,1=Fine no high winds | 2=Raining no high winds | 3=Snowing no high winds | 4=Fine + high winds | 5=Raining + high winds | 6=Snowing + high winds | 7=Fog or mist | 8=Other | 9=Unknown | -1=Data missing or out of range,,reviewed_candidate,PENDING
33,road_surface_conditions,road_surface_conditions,exact,True,2018;2019;2020;2021;2022;2023;2024,True,,1=Dry | 2=Wet or damp | 3=Snow | 4=Frost or ice | 5=Flood over 3cm. deep | 6=Oil or diesel | 7=Mud | -1=Data missing or out of range | 9=unknown (self reported),,reviewed_candidate,PENDING
34,special_conditions_at_site,special_conditions_at_site,exact,True,2018;2019;2020;2021;2022;2023;2024,True,,0=None | 1=Auto traffic signal - out | 2=Auto signal part defective | 3=Road sign or marking defective or obscured | 4=Roadworks | 5=Road surface defective | 6=Oil or diesel | 7=Mud | -1=Data missing or out of range | 9=unknown (self reported),,not_yet_decided,PENDING
35,carriageway_hazards_historic,carriageway_hazards_historic,exact,True,2018;2019;2020;2021;2022;2023;2024,True,,0=None | 1=Vehicle load on road | 2=Other object on road | 3=Previous accident | 4=Dog on road | 5=Other animal on road | 6=Pedestrian in carriageway - not injured | 7=Any animal in carriageway (except ridden horse) | -1=Data missing or out of range | 9=unknown (self reported),data collected in the 2011 STATS19 specification (or earlier),historic_version,PENDING
36,carriageway_hazards,carriageway_hazards,exact,True,2018;2019;2020;2021;2022;2023;2024,True,,0=None | 11=Defective traffic signals | 12=Permanent road signing or markings defective or obscured or inadequate | 13=Roadworks | 14=Oil or diesel | 15=Mud | 16=Dislodged vehicle load in carriageway | 17=Other object in carriageway | 18=Involvement with previous collision | 19=Pedestrian in carriageway - not injured | 20=Any animal in carriageway (except ridden horse) | 21=Poor or defective road surface | -1=Data missing or out of range | 99=unknown (self reported),New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification,current_harmonized_version,PENDING
37,urban_or_rural_area,urban_or_rural_area,exact,True,2018;2019;2020;2021;2022;2023;2024,True,,1=Urban | 2=Rural | 3=Unallocated | -1=Data missing or out of range,field introduced in 1994,reviewed_candidate,PENDING
38,did_police_officer_attend_scene_of_accident,did_police_officer_attend_scene_of_accident,exact,True,2018;2019;2020;2021;2022;2023;2024,True,,1=Yes | 2=No | 3=No - accident was reported using a self completion  form (self rep only) | -1=Data missing or out of range,,not_yet_decided,PENDING
39,trunk_road_flag,trunk_road_flag,exact,True,2018;2019;2020;2021;2022;2023;2024,True,,1=Trunk (Roads managed by Highways England) | 2=Non-trunk | -1=Data missing or out of range,,not_yet_decided,PENDING
