feature_name,category,total_count,total_pct,years_present,pre_2024_count,year_2024_count,rare_global_lt_100,semantic_unknown_or_not_applicable,unseen_in_2018_2023_but_present_2024,present_2018_2023_but_absent_2024,D5_action,count_2018,count_2019,count_2020,count_2021,count_2022,count_2023,count_2024
feature_weather_conditions,1:Fine no high winds,592493,0.7967406534829744,2018;2019;2020;2021;2022;2023;2024,512892,79601,False,False,False,False,retain_category,99221,92316,70729,81658,86939,82029,79601
feature_weather_conditions,2:Raining no high winds,85270,0.11466477329266882,2018;2019;2020;2021;2022;2023;2024,72942,12328,False,False,False,False,retain_category,12789,15294,11583,10425,10011,12840,12328
feature_weather_conditions,3:Snowing no high winds,3169,0.004261436220997625,2018;2019;2020;2021;2022;2023;2024,2927,242,False,False,False,False,retain_category,1075,353,185,606,312,396,242
feature_weather_conditions,4:Fine + high winds,7522,0.010115027849272368,2018;2019;2020;2021;2022;2023;2024,6587,935,False,False,False,False,retain_category,1134,1230,1401,875,970,977,935
feature_weather_conditions,5:Raining + high winds,8665,0.011652049496669113,2018;2019;2020;2021;2022;2023;2024,7540,1125,False,False,False,False,retain_category,1277,1430,1665,1034,909,1225,1125
feature_weather_conditions,6:Snowing + high winds,734,0.0009870287744437542,2018;2019;2020;2021;2022;2023;2024,709,25,False,False,False,False,retain_category,402,40,73,91,61,42,25
feature_weather_conditions,7:Fog or mist,3139,0.004221094445475401,2018;2019;2020;2021;2022;2023;2024,2665,474,False,False,False,False,retain_category,449,394,510,427,552,333,474
feature_weather_conditions,8:Other,20916,0.02812628589409477,2018;2019;2020;2021;2022;2023;2024,17864,3052,False,False,False,False,retain_category,2603,3043,2629,3213,3295,3081,3052
feature_weather_conditions,9:Unknown,21706,0.02918861931618001,2018;2019;2020;2021;2022;2023;2024,18561,3145,False,True,False,False,retain_explicit_semantic_category,3666,3436,2423,2746,2955,3335,3145
feature_road_surface_conditions,-1:Data missing or out of range,3696,0.0049701067443380315,2018;2019;2020;2021;2022;2023;2024,2992,704,False,True,False,False,retain_explicit_semantic_category,188,299,316,431,694,1064,704
feature_road_surface_conditions,1:Dry,534154,0.7182906920766063,2018;2019;2020;2021;2022;2023;2024,462322,71832,False,False,False,False,retain_category,90546,82321,62698,75221,78784,72752,71832
feature_road_surface_conditions,2:Wet or damp,184974,0.2487393195149305,2018;2019;2020;2021;2022;2023;2024,159619,25355,False,False,False,False,retain_category,28215,32259,26240,22592,23369,26944,25355
feature_road_surface_conditions,3:Snow,2605,0.0035030108411798085,2018;2019;2020;2021;2022;2023;2024,2446,159,False,False,False,False,retain_category,1099,245,150,476,235,241,159
