seed,model,metric,gap,ci_lower,ci_upper,design,iterations
4409,logistic_weighted,fatal_recall,0.17331651331986841,0.13712612484237188,0.20877621296157733,independent_true_class_stratified,2000
4409,lightgbm_weighted,fatal_recall,0.18720922806813534,0.15467733549254775,0.21945960623249169,independent_true_class_stratified,2000
4409,dummy_most_frequent,serious_or_fatal_recall,0,0,0,independent_true_class_stratified,2000
4409,logistic_unweighted,serious_or_fatal_recall,4.7056609100748203e-05,0,0.00014234624252975689,independent_true_class_stratified,2000
4409,logistic_weighted,serious_or_fatal_recall,0.17063039369769623,0.16223893377979193,0.17944132253424863,independent_true_class_stratified,2000
4409,lightgbm_weighted,serious_or_fatal_recall,0.14424309183346823,0.13525794246682035,0.15311713723109957,independent_true_class_stratified,2000
4409,dummy_most_frequent,mean_asymmetric_cost,0.057094000276222912,0.057094000276222912,0.057094000276222912,independent_true_class_stratified,2000
4409,logistic_unweighted,mean_asymmetric_cost,0.057114745442599146,0.057094000276222912,0.057156754404511019,independent_true_class_stratified,2000
4409,logistic_weighted,mean_asymmetric_cost,-0.071920273485994723,-0.079403964162367502,-0.065016975693264742,independent_true_class_stratified,2000
4409,lightgbm_weighted,mean_asymmetric_cost,-0.026224515330719234,-0.032752296737930009,-0.020101014538613578,independent_true_class_stratified,2000
5501,dummy_most_frequent,macro_f1,0.0059798090309858276,0.0059798090309858276,0.0059798090309858276,independent_true_class_stratified,2000
5501,logistic_unweighted,macro_f1,0.0059689157946384297,0.0058808850006393798,0.0060698233129358181,independent_true_class_stratified,2000
5501,logistic_weighted,macro_f1,-0.013380500575919108,-0.017002795853966534,-0.0098341840309817078,independent_true_class_stratified,2000
5501,lightgbm_weighted,macro_f1,-0.012686716765089978,-0.01709411306689081,-0.0085899200669267792,independent_true_class_stratified,2000
5501,dummy_most_frequent,qwk,0,0,0,independent_true_class_stratified,2000
5501,logistic_unweighted,qwk,0.00012158404816553503,-0.00025297501612899507,0.00060348631029027121,independent_true_class_stratified,2000
5501,logistic_weighted,qwk,-0.0042160809680786837,-0.010555958867807797,0.0024551320315349097,independent_true_class_stratified,2000
5501,lightgbm_weighted,qwk,0.012892490740841867,0.0047916772763151871,0.021106842687211632,independent_true_class_stratified,2000
5501,dummy_most_frequent,ordinal_mae,0.028351227766435227,0.028351227766435227,0.028351227766435227,independent_true_class_stratified,2000
5501,logistic_unweighted,ordinal_mae,0.028279084115870323,0.028206011601801584,0.028351227766435227,independent_true_class_stratified,2000
5501,logistic_weighted,ordinal_mae,-0.10120517453854172,-0.10740670431761742,-0.094942095707732488,independent_true_class_stratified,2000
5501,lightgbm_weighted,ordinal_mae,-0.077286007059097939,-0.082989771740802951,-0.072069971864097498,independent_true_class_stratified,2000
5501,dummy_most_frequent,accuracy,0.027959683023082604,0.027959683023082604,0.027959683023082604,independent_true_class_stratified,2000
5501,logistic_unweighted,accuracy,0.027866794206141576,0.027795114987328673,0.027929029705270336,independent_true_class_stratified,2000
5501,logistic_weighted,accuracy,-0.057673318199225998,-0.061833887891360649,-0.053407202814960482,independent_true_class_stratified,2000
5501,lightgbm_weighted,accuracy,-0.050555314663572326,-0.05481746571842299,-0.046408899639027709,independent_true_class_stratified,2000
5501,dummy_most_frequent,fatal_recall,0,0,0,independent_true_class_stratified,2000
5501,logistic_unweighted,fatal_recall,0,0,0,independent_true_class_stratified,2000
5501,logistic_weighted,fatal_recall,0.10340972237446222,0.06896570499653526,0.13754985002101713,independent_true_class_stratified,2000
5501,lightgbm_weighted,fatal_recall,0.12097732729541238,0.089396969633426013,0.15320571140173872,independent_true_class_stratified,2000
5501,dummy_most_frequent,serious_or_fatal_recall,0,0,0,independent_true_class_stratified,2000
5501,logistic_unweighted,serious_or_fatal_recall,0.00010127992343691292,-7.2613102495246845e-05,0.00028950635983990573,independent_true_class_stratified,2000
5501,logistic_weighted,serious_or_fatal_recall,0.14406290119201359,0.1355182624759016,0.1532408725180936,independent_true_class_stratified,2000
5501,lightgbm_weighted,serious_or_fatal_recall,0.14305139714533766,0.13380170301752026,0.15192944481372203,independent_true_class_stratified,2000
5501,dummy_most_frequent,mean_asymmetric_cost,0.057094000276222912,0.057094000276222912,0.057094000276222912,independent_true_class_stratified,2000
5501,logistic_unweighted,mean_asymmetric_cost,0.057043066223786187,0.056940269255408849,0.057145863192163526,independent_true_class_stratified,2000
5501,logistic_weighted,mean_asymmetric_cost,-0.05127246296058019,-0.058366540501638392,-0.043854998869733985,independent_true_class_stratified,2000
5501,lightgbm_weighted,mean_asymmetric_cost,-0.025137248534234713,-0.032203800986414413,-0.01866840004261229,independent_true_class_stratified,2000
