year,field_name,observed_value,count,pct
2023,flatHill,Hill Road,2322,0.21182266009852216
2023,flatHill,Null,3,0.0002736726874657909
2023,light,Bright sun,3807,0.3472906403940887
2023,light,Overcast,3412,0.31125706987775953
2023,light,Dark,3143,0.28671775223499363
2023,light,Twilight,596,0.05436964057653713
2023,light,Unknown,4,0.00036489691662105453
2023,roadCharacter,Nil,10336,0.942893632548805
2023,roadCharacter,Bridge,258,0.02353585112205802
2023,roadCharacter,Motorway ramp,183,0.016694033935413247
2023,roadCharacter,Speed hump,54,0.0049261083743842365
2023,roadCharacter,Overpass,48,0.004378762999452655
2023,roadCharacter,Rail xing,45,0.004105090311986864
2023,roadCharacter,Underpass,31,0.002827951103813173
2023,roadCharacter,Tram lines,4,0.00036489691662105453
2023,roadCharacter,Tunnel,3,0.0002736726874657909
2023,roadLane,2-way,9518,0.8682722130997993
2023,roadLane,1-way,1213,0.1106549899653348
2023,roadLane,Off road,229,0.020890348476555375
2023,roadLane,Null,2,0.00018244845831052726
2023,roadSurface,Sealed,10653,0.9718117131910236
2023,roadSurface,Unsealed,296,0.027002371829958037
2023,roadSurface,End of seal,11,0.0010034665207079
2023,roadSurface,Null,2,0.00018244845831052726
2023,streetLight,Off,4982,0.45447910965152344
2023,streetLight,None,3449,0.31463236635650427
2023,streetLight,On,2385,0.2175697865353038
2023,streetLight,Null,146,0.013318737456668492
2023,trafficControl,Nil,7332,0.668856048166393
2023,trafficControl,Give way,2002,0.1826309067688378
2023,trafficControl,Traffic Signals,834,0.07608100711548987
2023,trafficControl,Stop,730,0.06659368728334246
2023,trafficControl,Unknown,42,0.0038314176245210726
2023,trafficControl,Isolated Pedestrian signal (non-intersection),18,0.0016420361247947454
2023,trafficControl,Pointsman,4,0.00036489691662105453
2023,urban,Urban,6709,0.6120233534026638
2023,urban,Open,4253,0.38797664659733627
2023,weatherA,Fine,8726,0.7960226236088305
2023,weatherA,Light rain,1625,0.14823937237730342
2023,weatherA,Heavy rain,400,0.03648969166210546
2023,weatherA,Mist or Fog,190,0.017332603539500092
2023,weatherA,Hail or Sleet,9,0.0008210180623973727
2023,weatherA,Snow,7,0.0006385696040868455
2023,weatherA,Null,5,0.0004561211457763182
2023,weatherB,Null,10416,0.9501915708812261
2023,weatherB,Strong wind,350,0.031928480204342274
2023,weatherB,Frost,158,0.014413428206531655
2023,weatherB,None,38,0.0034665207079000184
2023,holiday,__MISSING__,10274,0.9372377303411786
2023,holiday,Christmas New Year,352,0.0321109286626528
2023,holiday,Easter,120,0.010946907498631636
2023,holiday,Queens Birthday,113,0.010308337894544791
2023,holiday,Labour Weekend,103,0.009396095602992155
2024,advisorySpeed,__MISSING__,10094,0.9482386096759042
2024,advisorySpeed,45.0,115,0.010803193987787695
2024,advisorySpeed,65.0,105,0.00986378581493659
2024,advisorySpeed,55.0,89,0.008360732738374824
2024,advisorySpeed,35.0,81,0.007609206200093941
2024,advisorySpeed,75.0,76,0.007139502113668389
2024,advisorySpeed,85.0,39,0.003663691874119305
2024,advisorySpeed,25.0,31,0.0029121653358384217
2024,advisorySpeed,95.0,9,0.0008454673555659935
2024,advisorySpeed,15.0,6,0.0005636449037106623
2024,speedLimit,50.0,5129,0.4818224518553311
2024,speedLimit,100.0,3214,0.3019257867543448
2024,speedLimit,80.0,974,0.09149835603569752
2024,speedLimit,60.0,525,0.04931892907468295
2024,speedLimit,30.0,215,0.020197275716298733
2024,speedLimit,70.0,200,0.018788163457022077
2024,speedLimit,__MISSING__,187,0.01756693283231564
2024,speedLimit,40.0,95,0.008924377642085486
2024,speedLimit,10.0,32,0.0030061061531235322
2024,speedLimit,110.0,32,0.0030061061531235322
2024,speedLimit,90.0,27,0.00253640206669798
2024,speedLimit,20.0,14,0.0013151714419915453
2024,speedLimit,5.0,1,9.394081728511038e-05
2024,temporarySpeedLimit,__MISSING__,10278,0.9655237200563644
2024,temporarySpeedLimit,30.0,192,0.018036636918741192
2024,temporarySpeedLimit,50.0,53,0.00497886331611085
2024,temporarySpeedLimit,40.0,47,0.004415218412400188
2024,temporarySpeedLimit,70.0,23,0.0021606387975575386
2024,temporarySpeedLimit,60.0,19,0.0017848755284170972
2024,temporarySpeedLimit,80.0,11,0.0010333489901362142
2024,temporarySpeedLimit,20.0,11,0.0010333489901362142
2024,temporarySpeedLimit,90.0,7,0.0006575857209957727
2024,temporarySpeedLimit,10.0,4,0.00037576326914044153
2024,NumberOfLanes,2.0,8376,0.7868482855800846
2024,NumberOfLanes,4.0,759,0.07130108031939877
2024,NumberOfLanes,3.0,651,0.06115547205260686
2024,NumberOfLanes,1.0,436,0.04095819633630812
2024,NumberOfLanes,__MISSING__,168,0.015782057303898544
2024,NumberOfLanes,5.0,107,0.01005166744950681
2024,NumberOfLanes,0.0,87,0.008172851103804604
2024,NumberOfLanes,6.0,45,0.004227336777829967
