evaluation_group,evaluation_design,model_protocol,seed,cohort_role,cohort_rows,cohort_years,model,macro_f1,qwk,ordinal_mae,accuracy,minor_recall,serious_recall,fatal_recall,minor_precision,serious_precision,fatal_precision,serious_or_fatal_recall,mean_asymmetric_cost
random_seed_3301_internal_test,random_internal_test,random_reference,3301,test,4887,2022;2023;2024,dummy_most_frequent,0.29214085910257886,0,0.24718641293226928,0.78002864743196232,1,0,0,0.78002864743196232,0,0,0,0.52158788622877017
random_seed_3301_internal_test,random_internal_test,random_reference,3301,test,4887,2022;2023;2024,logistic_weighted,0.32804693551481534,0.11220927663460545,0.7219152854511971,0.48496009821976671,0.54564533053515218,0.21443736730360935,0.66165413533834583,0.83366733466933862,0.20867768595041322,0.061797752808988762,0.61395348837209307,0.82525066502967059
random_seed_4409_2025_diagnostic,random_2025_diagnostic,random_reference,4409,locked_temporal_test,10542,2025,dummy_most_frequent,0.29211966176366094,0,0.24464048567634225,0.77992790741794726,1,0,0,0.77992790741794726,0,0,0,0.51384936444697404
random_seed_4409_2025_diagnostic,random_2025_diagnostic,random_reference,4409,locked_temporal_test,10542,2025,logistic_weighted,0.32972517964334985,0.10012718104664764,0.72860937203566689,0.47903623600834755,0.52918997810751645,0.26880155264434741,0.55984555984555984,0.84012357597991894,0.23574468085106384,0.048124792565549288,0.64310344827586208,0.82878011762473913
random_seed_4409_internal_test,random_internal_test,random_reference,4409,test,4887,2022;2023;2024,dummy_most_frequent,0.29214085910257886,0,0.24718641293226928,0.78002864743196232,1,0,0,0.78002864743196232,0,0,0,0.52158788622877017
random_seed_4409_internal_test,random_internal_test,random_reference,4409,test,4887,2022;2023;2024,logistic_weighted,0.32771466509790642,0.090735368874615752,0.72478002864743196,0.47902598731328011,0.53279118572927597,0.24522292993630573,0.59398496240601506,0.82393509127789044,0.21588785046728973,0.058431952662721894,0.59627906976744183,0.83568651524452631
random_seed_5501_2025_diagnostic,random_2025_diagnostic,random_reference,5501,locked_temporal_test,10542,2025,dummy_most_frequent,0.29211966176366094,0,0.24464048567634225,0.77992790741794726,1,0,0,0.77992790741794726,0,0,0,0.51384936444697404
random_seed_5501_2025_diagnostic,random_2025_diagnostic,random_reference,5501,locked_temporal_test,10542,2025,logistic_weighted,0.32453449386236655,0.097210217608944771,0.73942325934357811,0.47476759628154053,0.52870347847239119,0.24599708879184862,0.58301158301158296,0.83612233121754187,0.22715053763440859,0.048537447765991643,0.63275862068965516,0.84073230885979888
random_seed_5501_internal_test,random_internal_test,random_reference,5501,test,4887,2022;2023;2024,dummy_most_frequent,0.29214085910257886,0,0.24718641293226928,0.78002864743196232,1,0,0,0.78002864743196232,0,0,0,0.52158788622877017
random_seed_5501_internal_test,random_internal_test,random_reference,5501,test,4887,2022;2023;2024,logistic_weighted,0.32372471291894406,0.09823691669204615,0.73889912011458969,0.47800286474319625,0.53751311647429167,0.21762208067940553,0.61654135338345861,0.83022690437601299,0.21376433785192908,0.056164383561643834,0.61023255813953492,0.84550849191733168
