dataset,seed,model,metric,gap,ci_lower,ci_upper,design,iterations
cas,3301,logistic_weighted,ordinal_mae,0.014093062110935306,-0.01217910811662877,0.039896460811144535,independent_true_class_stratified,2000
cas,3301,logistic_weighted,qwk,0.013615285378413167,-0.0086511090999515875,0.036207587076035316,independent_true_class_stratified,2000
cas,3301,logistic_weighted,serious_or_fatal_recall,-0.026132718524458642,-0.063910234562951168,0.0085811447473936407,independent_true_class_stratified,2000
cas,4409,dummy_most_frequent,accuracy,0.00010074001401505495,0.00010074001401505495,0.00010074001401505495,independent_true_class_stratified,2000
cas,4409,dummy_most_frequent,fatal_recall,0,0,0,independent_true_class_stratified,2000
cas,4409,dummy_most_frequent,macro_f1,2.1197338917866571e-05,2.1197338917866571e-05,2.1197338917866571e-05,independent_true_class_stratified,2000
cas,4409,dummy_most_frequent,mean_asymmetric_cost,-0.007738521781796126,-0.007738521781796126,-0.007738521781796126,independent_true_class_stratified,2000
cas,4409,dummy_most_frequent,ordinal_mae,-0.002545927255927033,-0.002545927255927033,-0.002545927255927033,independent_true_class_stratified,2000
cas,4409,dummy_most_frequent,qwk,0,0,0,independent_true_class_stratified,2000
cas,4409,dummy_most_frequent,serious_or_fatal_recall,0,0,0,independent_true_class_stratified,2000
cas,4409,lightgbm_revised,accuracy,-0.0043004922052268801,-0.020598341237057061,0.011813306859090501,independent_true_class_stratified,2000
cas,4409,lightgbm_revised,fatal_recall,0.025198130461288326,-0.080080268238162999,0.12457833773623243,independent_true_class_stratified,2000
cas,4409,lightgbm_revised,macro_f1,-0.0060827612827119015,-0.020317103772863214,0.0087617829133675908,independent_true_class_stratified,2000
cas,4409,lightgbm_revised,mean_asymmetric_cost,-0.014499050190538432,-0.044432840417685575,0.015236673813966841,independent_true_class_stratified,2000
cas,4409,lightgbm_revised,ordinal_mae,-0.00016945285594449633,-0.026007317160659564,0.025903257966992031,independent_true_class_stratified,2000
cas,4409,lightgbm_revised,qwk,-0.017211346962058949,-0.041070839155628799,0.0068698624666981515,independent_true_class_stratified,2000
cas,4409,lightgbm_revised,serious_or_fatal_recall,-0.058831194867682401,-0.091908630713712913,-0.021618133520449133,independent_true_class_stratified,2000
cas,4409,logistic_weighted,accuracy,-1.0248695067438529e-05,-0.01649867978173539,0.015853546263948835,independent_true_class_stratified,2000
cas,4409,logistic_weighted,fatal_recall,0.034139402560455223,-0.069741922373501325,0.13942288152814461,independent_true_class_stratified,2000
cas,4409,logistic_weighted,macro_f1,-0.0020105145454434314,-0.016240026347991435,0.011678204426880379,independent_true_class_stratified,2000
cas,4409,logistic_weighted,mean_asymmetric_cost,-0.0069063976197871746,-0.036671023235538697,0.021904410770493363,independent_true_class_stratified,2000
cas,4409,logistic_weighted,ordinal_mae,0.0038293433882349293,-0.022548979445426762,0.029091414458509605,independent_true_class_stratified,2000
cas,4409,logistic_weighted,qwk,-0.0093918121720318881,-0.031971621967652158,0.012152186219967056,independent_true_class_stratified,2000
cas,4409,logistic_weighted,serious_or_fatal_recall,-0.04682437850842025,-0.08210475140336812,-0.0095873596631916441,independent_true_class_stratified,2000
cas,5501,dummy_most_frequent,accuracy,0.00010074001401505495,0.00010074001401505495,0.00010074001401505495,independent_true_class_stratified,2000
cas,5501,dummy_most_frequent,fatal_recall,0,0,0,independent_true_class_stratified,2000
cas,5501,dummy_most_frequent,macro_f1,2.1197338917866571e-05,2.1197338917866571e-05,2.1197338917866571e-05,independent_true_class_stratified,2000
cas,5501,dummy_most_frequent,mean_asymmetric_cost,-0.007738521781796126,-0.007738521781796126,-0.007738521781796126,independent_true_class_stratified,2000
cas,5501,dummy_most_frequent,ordinal_mae,-0.002545927255927033,-0.002545927255927033,-0.002545927255927033,independent_true_class_stratified,2000
cas,5501,dummy_most_frequent,qwk,0,0,0,independent_true_class_stratified,2000
cas,5501,dummy_most_frequent,serious_or_fatal_recall,0,0,0,independent_true_class_stratified,2000
cas,5501,lightgbm_revised,accuracy,0.0018979302177999369,-0.014283227812535984,0.018360198016435028,independent_true_class_stratified,2000
cas,5501,lightgbm_revised,fatal_recall,0.03129445234708389,-0.070737654948181253,0.13371774029668759,independent_true_class_stratified,2000
cas,5501,lightgbm_revised,macro_f1,6.4312114696984946e-05,-0.014637944338814013,0.014506068220916653,independent_true_class_stratified,2000
cas,5501,lightgbm_revised,mean_asymmetric_cost,0.0096291148656273418,-0.018587133823151164,0.038312596321719961,independent_true_class_stratified,2000
cas,5501,lightgbm_revised,ordinal_mae,0.010937337498496236,-0.01325119440970958,0.035677607323344789,independent_true_class_stratified,2000
cas,5501,lightgbm_revised,qwk,0.018745478420749584,-0.0071840135946911353,0.044031883083584696,independent_true_class_stratified,2000
cas,5501,lightgbm_revised,serious_or_fatal_recall,0.00097032878909375508,-0.035200380914194085,0.037046010425019996,independent_true_class_stratified,2000
cas,5501,logistic_weighted,accuracy,0.003235268461655727,-0.013626519383601553,0.019073402376928596,independent_true_class_stratified,2000
cas,5501,logistic_weighted,fatal_recall,0.033529770371875656,-0.069305019305019241,0.13229526519000195,independent_true_class_stratified,2000
cas,5501,logistic_weighted,macro_f1,-0.00080978094342254447,-0.015251275891750682,0.012459511303936469,independent_true_class_stratified,2000
cas,5501,logistic_weighted,mean_asymmetric_cost,-0.0047761830575328013,-0.036613697509066262,0.025893584305241552,independent_true_class_stratified,2000
cas,5501,logistic_weighted,ordinal_mae,0.00052413922898841836,-0.026825299870412225,0.026851393280978849,independent_true_class_stratified,2000
cas,5501,logistic_weighted,qwk,0.0010266990831013789,-0.022643353900528157,0.023075773394426645,independent_true_class_stratified,2000
cas,5501,logistic_weighted,serious_or_fatal_recall,-0.022526062550120241,-0.057896952686447567,0.013887931034482772,independent_true_class_stratified,2000
