evaluation_group,evaluation_design,seed,metric,higher_is_better,contrast,logistic_value,lightgbm_value,point_difference,ci_lower,ci_upper,iterations,valid_iterations,bootstrap_design
random_seed_4409_internal_test,random_internal_test,4409,qwk,True,lightgbm_minus_logistic,0.09073536887461564,0.08696093290979912,-0.003774435964816525,-0.020983629340680203,0.01381182119471412,2000,2000,paired_stratified
random_seed_4409_internal_test,random_internal_test,4409,ordinal_mae,False,lightgbm_minus_logistic,0.724780028647432,0.645999590750972,-0.07878043789645994,-0.09781051770002047,-0.06036423163494986,2000,2000,paired_stratified
random_seed_4409_internal_test,random_internal_test,4409,accuracy,True,lightgbm_minus_logistic,0.4790259873132801,0.5170861469204011,0.038060159607121,0.02516881522406389,0.051161244117045264,2000,2000,paired_stratified
random_seed_4409_internal_test,random_internal_test,4409,minor_recall,True,lightgbm_minus_logistic,0.532791185729276,0.5844700944386149,0.05167890870933889,0.0380377754459601,0.06689401888772295,2000,2000,paired_stratified
random_seed_4409_internal_test,random_internal_test,4409,serious_recall,True,lightgbm_minus_logistic,0.24522292993630573,0.24734607218683652,0.002123142250530785,-0.029750530785562626,0.03290870488322717,2000,2000,paired_stratified
random_seed_4409_internal_test,random_internal_test,4409,fatal_recall,True,lightgbm_minus_logistic,0.5939849624060151,0.49624060150375937,-0.09774436090225569,-0.18045112781954886,-0.015037593984962405,2000,2000,paired_stratified
random_seed_4409_internal_test,random_internal_test,4409,serious_or_fatal_recall,True,lightgbm_minus_logistic,0.5962790697674418,0.52,-0.07627906976744181,-0.10325581395348837,-0.04837209302325585,2000,2000,paired_stratified
random_seed_4409_internal_test,random_internal_test,4409,mean_asymmetric_cost,False,lightgbm_minus_logistic,0.8356865152445263,0.7790055248618785,-0.056680990382647845,-0.07898506241047676,-0.03478105177000206,2000,2000,paired_stratified
random_seed_4409_2025_diagnostic,random_2025_diagnostic,4409,macro_f1,True,lightgbm_minus_logistic,0.32972517964334985,0.33930364467106916,0.009578465027719307,0.0008865642847140589,0.017740681139645824,2000,2000,paired_stratified
random_seed_4409_2025_diagnostic,random_2025_diagnostic,4409,qwk,True,lightgbm_minus_logistic,0.10012718104664764,0.09590296184826308,-0.00422421919838456,-0.016260149892867275,0.008103481917127238,2000,2000,paired_stratified
random_seed_4409_2025_diagnostic,random_2025_diagnostic,4409,ordinal_mae,False,lightgbm_minus_logistic,0.7286093720356669,0.6459874786568014,-0.0826218933788655,-0.09609419464997156,-0.06972111553784854,2000,2000,paired_stratified
random_seed_4409_2025_diagnostic,random_2025_diagnostic,4409,accuracy,True,lightgbm_minus_logistic,0.47903623600834755,0.5177385695313982,0.038702333523050636,0.029593530639347377,0.0479984822614305,2000,2000,paired_stratified
random_seed_4409_2025_diagnostic,random_2025_diagnostic,4409,minor_recall,True,lightgbm_minus_logistic,0.5291899781075164,0.5807589394307954,0.05156896132327893,0.041474093894429576,0.06239357820481628,2000,2000,paired_stratified
random_seed_4409_2025_diagnostic,random_2025_diagnostic,4409,serious_recall,True,lightgbm_minus_logistic,0.2688015526443474,0.28335759340126154,0.014556040756914135,-0.00727802037845704,0.03590490053372147,2000,2000,paired_stratified
random_seed_4409_2025_diagnostic,random_2025_diagnostic,4409,fatal_recall,True,lightgbm_minus_logistic,0.5598455598455598,0.38223938223938225,-0.17760617760617758,-0.2355212355212355,-0.11969111969111967,2000,2000,paired_stratified
random_seed_4409_2025_diagnostic,random_2025_diagnostic,4409,serious_or_fatal_recall,True,lightgbm_minus_logistic,0.6431034482758621,0.5745689655172413,-0.06853448275862073,-0.08707974137931038,-0.04956896551724144,2000,2000,paired_stratified
random_seed_4409_2025_diagnostic,random_2025_diagnostic,4409,mean_asymmetric_cost,False,lightgbm_minus_logistic,0.8287801176247391,0.7699677480553975,-0.05881236956934166,-0.07427433124644289,-0.04344289508632144,2000,2000,paired_stratified
