model,metric,direction,random_internal_mean_5_seeds,random_internal_sd_5_seeds,same_random_models_2024_mean_5_seeds,same_random_models_2024_sd_5_seeds,mean_oriented_optimism_gap_5_seeds,optimism_gap_sd_5_seeds,optimism_gap_minimum,optimism_gap_maximum,strict_temporal_2024_point,strict_temporal_2024_ci_lower,strict_temporal_2024_ci_upper,random_seed_summary_status,temporal_interval_status
logistic_weighted,mean_asymmetric_cost,lower_is_better,0.792116836777031,0.0015004543021623954,0.6475076045062272,0.003749132432834717,-0.1446092322708036,0.0035108591249271,-0.1480675173216312,-0.1392638141901956,0.6387686149395108,0.6347530888662102,0.6429498548455814,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
ordered_logit_unweighted,macro_f1,higher_is_better,0.29270769810149083,0.00031897789504296256,0.2864004350108114,0.00010991221850269653,0.0063072630906794,0.0002541477058448,0.005931098159968,0.0066304409437996,0.2862395196889514,0.2861134854934703,0.2863932584090676,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
ordered_logit_unweighted,qwk,higher_is_better,0.0017470897546937002,0.00098655762617558,0.0005684428739042201,0.00016125321659237767,0.0011786468807895,0.0008663118075006,-0.0002553623496532,0.0019151706545017,0.0003629042080753,7.438151896527191e-05,0.0007329625645351,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
ordered_logit_unweighted,ordinal_mae,lower_is_better,0.23501161729317066,0.00010952779894794794,0.26320409801143396,1.9314542877172664e-05,0.0281924807182633,0.0001069786529351,0.0280216272631751,0.0282814062746299,0.2632298592051681,0.2631704102965509,0.2632893081137852,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
ordered_logit_unweighted,accuracy,higher_is_better,0.7793938262384865,8.471295738569231e-05,0.7516700189245692,1.772424011411434e-05,0.0277238073139172,9.094783992346802e-05,0.0276197099366344,0.027847906766773,0.7516422761005479,0.7515828271919308,0.751701725009165,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
ordered_logit_unweighted,fatal_recall,higher_is_better,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
ordered_logit_unweighted,serious_or_fatal_recall,higher_is_better,0.00138344880802008,0.0006086655722775291,0.0004946348079300601,0.00016104853993525423,0.00088881400009,0.000491281462284,0.0001186993050319,0.0014465857490584,0.0002792293270573,7.977980773066337e-05,0.0005185687502493,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
ordered_logit_unweighted,mean_asymmetric_cost,lower_is_better,0.48412787320554307,0.0002350940888251424,0.5412327722016903,5.1005331283941994e-05,0.0571048989961472,0.0002112179947194,0.0567482989241059,0.0572711079692791,0.5413120374131798,0.5411931395959456,0.5414111189275417,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
lightgbm_weighted,macro_f1,higher_is_better,0.35449664329603453,0.001414549149720823,0.35767803180868496,0.004399951886816325,-0.0031813885126504,0.0045290595067344,-0.0096067121690074,0.0026125153595326,0.3622330194520711,0.3588564742588648,0.3655825179808836,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
lightgbm_weighted,qwk,higher_is_better,0.11652023599625905,0.0028391782278260336,0.06296673541072816,0.00850342214325892,0.0535535005855309,0.0063139780767533,0.0458579287826108,0.0634444283425106,0.0700795426859418,0.0635196618803905,0.0766042203940998,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
lightgbm_weighted,ordinal_mae,lower_is_better,0.538998838270683,0.002726809883040649,0.3878288267757884,0.005765588992676111,-0.1511700114948944,0.007883056522253,-0.1641930331673861,-0.1447430291285255,0.3917385833325076,0.3887557343426437,0.3946624788213262,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
lightgbm_weighted,accuracy,higher_is_better,0.5461870384200481,0.0020114976955540364,0.649992568886423,0.005626841730424812,-0.1038055304663747,0.0063402904758039,-0.1144745022207739,-0.0985939074757908,0.646804125754258,0.6443860413962567,0.6491823298027287,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
lightgbm_weighted,fatal_recall,higher_is_better,0.38170696864218545,0.010112348501172286,0.11704394141145136,0.011996960022219545,0.264663027230734,0.0093055430427109,0.2534868802941818,0.278954717505891,0.1171770972037283,0.1005326231691078,0.133155792276964,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
lightgbm_weighted,serious_or_fatal_recall,higher_is_better,0.54863213000293,0.0030356699807065953,0.25212812637121546,0.02488942370939277,0.2965040036317145,0.0239857180707563,0.271319109568151,0.3357138138556885,0.2748414376321353,0.2690962942279309,0.2803073517092823,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
lightgbm_weighted,mean_asymmetric_cost,lower_is_better,0.6564185544768069,0.003165388824011292,0.5998711940313296,0.002657254644545755,-0.0565473604454773,0.0038872989464198,-0.0598074155006128,-0.0504265713865083,0.5981352858997097,0.5943501243473005,0.6019206951559049,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
