seed,model,metric,direction,random_internal_point,same_random_model_2024_point,optimism_gap,optimism_gap_ci_lower,optimism_gap_ci_upper,positive_gap_means,resampling_relation,confidence_level,bootstrap_iterations
2207,dummy_most_frequent,fatal_recall,higher_is_better,0.0,0.0,0.0,0.0,0.0,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,dummy_most_frequent,serious_or_fatal_recall,higher_is_better,0.0,0.0,0.0,0.0,0.0,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,dummy_most_frequent,mean_asymmetric_cost,lower_is_better,0.4843788897186955,0.5414210270789779,0.05704213736028235,0.05704213736028235,0.05704213736028235,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,logistic_unweighted,macro_f1,higher_is_better,0.29212387807338036,0.2860628412827707,0.006061036790609653,0.005955756666601375,0.006193811793571147,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,logistic_unweighted,qwk,higher_is_better,9.750548881570786e-05,-1.7803230921042967e-05,0.00011530871973675083,-0.00019897777861666022,0.0004937432571207128,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,logistic_unweighted,ordinal_mae,lower_is_better,0.2350219898763588,0.263279399962349,0.028257410085990198,0.02817440619889766,0.028339009067033183,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,logistic_unweighted,accuracy,higher_is_better,0.7794685088374409,0.7516026434948032,0.027865865342637686,0.027782884677132746,0.027946999891928753,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,logistic_unweighted,fatal_recall,higher_is_better,0.0,0.0,0.0,0.0,0.0,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,logistic_unweighted,serious_or_fatal_recall,higher_is_better,0.00018821757952192734,0.0,0.00018821757952192734,4.7054394880481836e-05,0.0003764351590438547,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,logistic_unweighted,mean_asymmetric_cost,lower_is_better,0.484420380051448,0.5414309352304141,0.05701055517896608,0.05690681773629111,0.057114745442599146,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,logistic_weighted,macro_f1,higher_is_better,0.32304628350578035,0.3378647960969738,-0.014818512591193433,-0.018680257818996196,-0.010935631084158152,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,logistic_weighted,qwk,higher_is_better,0.09924119748503124,0.04669234832444413,0.05254884916058711,0.04448288819390859,0.06023659700669714,random_internal_more_optimistic,independent_test_samples,0.95,2000
