group_key,evaluation_scope,split_slug,sample_role,seed,model,metric,direction,point_estimate,ci_lower,ci_upper,confidence_level,bootstrap_iterations,interval_method,resampling_relation
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,logistic_unweighted,qwk,higher_is_better,-9.655281795595272e-05,-0.0003140289365750226,0.0001576142912529388,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,logistic_unweighted,ordinal_mae,lower_is_better,0.23506348020911128,0.23498049954360634,0.23514646087461621,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,logistic_unweighted,accuracy,higher_is_better,0.7794373910878766,0.7793544104223716,0.7795203717533815,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,logistic_unweighted,fatal_recall,higher_is_better,0.0,0.0,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,logistic_unweighted,serious_or_fatal_recall,higher_is_better,0.0001411631846414455,0.0,0.00028350272915489666,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,logistic_unweighted,mean_asymmetric_cost,lower_is_better,0.4844722429673886,0.48436851713550744,0.48456559621608164,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,logistic_weighted,macro_f1,higher_is_better,0.323643796360964,0.32120612742613,0.32616548524942407,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,logistic_weighted,qwk,higher_is_better,0.09809163319283054,0.09395419532239857,0.10242676902167278,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,logistic_weighted,ordinal_mae,lower_is_better,0.6987698116338893,0.6938013442867812,0.7037494295079246,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,logistic_weighted,accuracy,higher_is_better,0.4824080989129533,0.47931706912289435,0.48552065181312754,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,logistic_weighted,fatal_recall,higher_is_better,0.6587982832618026,0.6344778254649499,0.6831187410586552,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,logistic_weighted,serious_or_fatal_recall,higher_is_better,0.6165066817240731,0.6098720120459251,0.6229072557876905,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,logistic_weighted,mean_asymmetric_cost,lower_is_better,0.793201808978508,0.7875692369927807,0.7989487386938843,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,ordered_logit_unweighted,macro_f1,higher_is_better,0.2922842113014773,0.29209504733545766,0.2925019484027417,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,ordered_logit_unweighted,qwk,higher_is_better,0.00015373350433112165,-0.0003542725900327337,0.00074964248682452,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,ordered_logit_unweighted,ordinal_mae,lower_is_better,0.2351983237905568,0.23506348020911128,0.23533316737200233,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,ordered_logit_unweighted,accuracy,higher_is_better,0.7792818023400547,0.7791469587586093,0.7794166459215003,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,ordered_logit_unweighted,fatal_recall,higher_is_better,0.0,0.0,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,ordered_logit_unweighted,serious_or_fatal_recall,higher_is_better,0.0005175983436853002,0.0002352719744024092,0.0007999247129681912,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,ordered_logit_unweighted,mean_asymmetric_cost,lower_is_better,0.48452410588332917,0.48433739938594306,0.4847004397975272,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,lightgbm_weighted,macro_f1,higher_is_better,0.35311614153981535,0.3503024991800496,0.3561546481868094,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,lightgbm_weighted,qwk,higher_is_better,0.11647039804804415,0.11113309111360095,0.12176003267906799,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,lightgbm_weighted,ordinal_mae,lower_is_better,0.5398618371919343,0.5356814268525434,0.5440318749481371,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,lightgbm_weighted,accuracy,higher_is_better,0.5435752219732802,0.540462669073106,0.5467808688075678,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,lightgbm_weighted,fatal_recall,higher_is_better,0.382689556509299,0.3562231759656652,0.4084406294706724,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,lightgbm_weighted,serious_or_fatal_recall,higher_is_better,0.5479954827780915,0.541596085074346,0.5547242612460004,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,1103,lightgbm_weighted,mean_asymmetric_cost,lower_is_better,0.657403949879678,0.6523939921998174,0.6623425960501202,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,dummy_most_frequent,macro_f1,higher_is_better,0.28606499420199677,0.28606499420199677,0.28606499420199677,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,dummy_most_frequent,qwk,higher_is_better,0.0,0.0,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,dummy_most_frequent,ordinal_mae,lower_is_better,0.26326949181091286,0.26326949181091286,0.26326949181091286,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,dummy_most_frequent,accuracy,higher_is_better,0.7516125516462394,0.7516125516462394,0.7516125516462394,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,dummy_most_frequent,fatal_recall,higher_is_better,0.0,0.0,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,dummy_most_frequent,serious_or_fatal_recall,higher_is_better,0.0,0.0,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,dummy_most_frequent,mean_asymmetric_cost,lower_is_better,0.5414210270789779,0.5414210270789779,0.5414210270789779,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,logistic_unweighted,macro_f1,higher_is_better,0.2860628412827707,0.2860585353712482,0.28606499420199677,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,logistic_unweighted,qwk,higher_is_better,-1.7803230921042967e-05,-5.3407982791853215e-05,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,logistic_unweighted,ordinal_mae,lower_is_better,0.263279399962349,0.26326949181091286,0.2632992162652214,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,logistic_unweighted,accuracy,higher_is_better,0.7516026434948032,0.7515828271919308,0.7516125516462394,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,logistic_unweighted,fatal_recall,higher_is_better,0.0,0.0,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,logistic_unweighted,serious_or_fatal_recall,higher_is_better,0.0,0.0,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,logistic_unweighted,mean_asymmetric_cost,lower_is_better,0.5414309352304141,0.5414210270789779,0.5414507515332865,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,logistic_weighted,macro_f1,higher_is_better,0.3481848936525264,0.34524102499364406,0.3510426570038339,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,logistic_weighted,qwk,higher_is_better,0.07606595824102413,0.06960885170117695,0.08233595972124366,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,logistic_weighted,ordinal_mae,lower_is_better,0.4566567915424019,0.4527329158698861,0.4602536982175236,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,logistic_weighted,accuracy,higher_is_better,0.6239955611481566,0.6214491662290567,0.6265521119224786,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,logistic_weighted,fatal_recall,higher_is_better,0.3129161118508655,0.28894806924101196,0.33688415446071907,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,logistic_weighted,serious_or_fatal_recall,higher_is_better,0.2880848857154254,0.282619968885875,0.29362958235270653,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,logistic_weighted,mean_asymmetric_cost,lower_is_better,0.6539379947883124,0.6494295381810615,0.658327553578329,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,ordered_logit_unweighted,macro_f1,higher_is_better,0.2863531131415093,0.28617596925946326,0.28653672798811375,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,ordered_logit_unweighted,qwk,higher_is_better,0.0004090958539844092,0.00010639021679661467,0.0007435019762082051,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,ordered_logit_unweighted,ordinal_mae,lower_is_better,0.2632199510537319,0.2631406858422424,0.2632992162652214,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,ordered_logit_unweighted,accuracy,higher_is_better,0.7516620924034203,0.7515828271919308,0.7517413576149098,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,ordered_logit_unweighted,fatal_recall,higher_is_better,0.0,0.0,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,ordered_logit_unweighted,serious_or_fatal_recall,higher_is_better,0.00039889903865331685,0.00015955961546132674,0.000638238461845307,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,ordered_logit_unweighted,mean_asymmetric_cost,lower_is_better,0.5412724048074351,0.5411336906873284,0.5414012107761055,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,lightgbm_weighted,macro_f1,higher_is_better,0.3627228537088228,0.3589382048776757,0.36646151434186447,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,lightgbm_weighted,qwk,higher_is_better,0.0706124692654333,0.06417228789971624,0.07746737735918047,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,lightgbm_weighted,ordinal_mae,lower_is_better,0.39266994956750917,0.38948868984513557,0.3956131659516284,0.95,2000,percentile,paired_across_models_within_group
