group_key,evaluation_scope,split_slug,sample_role,seed,candidate,reference,metric,direction,candidate_point,reference_point,raw_delta_candidate_minus_reference,raw_delta_ci_lower,raw_delta_ci_upper,oriented_advantage,oriented_advantage_ci_lower,oriented_advantage_ci_upper,positive_oriented_advantage_favors,resampling_relation,confidence_level,bootstrap_iterations
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,lightgbm_weighted,logistic_weighted,serious_or_fatal_recall,higher_is_better,0.5450310559006211,0.6167890080933559,-0.07175795219273484,-0.07778209109730844,-0.06577498588368151,-0.07175795219273484,-0.07778209109730844,-0.06577498588368151,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,lightgbm_weighted,logistic_weighted,mean_asymmetric_cost,lower_is_better,0.6569786739689653,0.7929839847315575,-0.13600531076259226,-0.14057987926313165,-0.13131690316156341,0.13600531076259226,0.13131690316156341,0.14057987926313165,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_2207__2024_diagnostic,random_model_on_2024,random_seed_2207,random_model_future_test,2207,lightgbm_weighted,logistic_weighted,macro_f1,higher_is_better,0.3584315969705118,0.3378647960969738,0.020566800873538016,0.017271407309230304,0.02391988619889608,0.020566800873538016,0.017271407309230304,0.02391988619889608,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_2207__2024_diagnostic,random_model_on_2024,random_seed_2207,random_model_future_test,2207,lightgbm_weighted,logistic_weighted,qwk,higher_is_better,0.06398466948197434,0.04669234832444413,0.01729232115753021,0.011210553744898977,0.02323231935626223,0.01729232115753021,0.011210553744898977,0.02323231935626223,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_2207__2024_diagnostic,random_model_on_2024,random_seed_2207,random_model_future_test,2207,lightgbm_weighted,logistic_weighted,ordinal_mae,lower_is_better,0.38621974298255174,0.4311234852913492,-0.044903742308797456,-0.04778701437672772,-0.04184212351501582,0.044903742308797456,0.04184212351501582,0.04778701437672772,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_2207__2024_diagnostic,random_model_on_2024,random_seed_2207,random_model_future_test,2207,lightgbm_weighted,logistic_weighted,accuracy,higher_is_better,0.6511934368404887,0.6413150098586107,0.009878426981878019,0.007490562485756969,0.012226906576040062,0.009878426981878019,0.007490562485756969,0.012226906576040062,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_2207__2024_diagnostic,random_model_on_2024,random_seed_2207,random_model_future_test,2207,lightgbm_weighted,logistic_weighted,fatal_recall,higher_is_better,0.1151797603195739,0.22237017310252996,-0.10719041278295606,-0.12518308921438084,-0.08988015978695074,-0.10719041278295606,-0.12518308921438084,-0.08988015978695074,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_2207__2024_diagnostic,random_model_on_2024,random_seed_2207,random_model_future_test,2207,lightgbm_weighted,logistic_weighted,serious_or_fatal_recall,higher_is_better,0.25186485300570427,0.22306434241493478,0.02880051059076949,0.023495153376680372,0.033786748573935904,0.02880051059076949,0.023495153376680372,0.033786748573935904,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_2207__2024_diagnostic,random_model_on_2024,random_seed_2207,random_model_future_test,2207,lightgbm_weighted,logistic_weighted,mean_asymmetric_cost,lower_is_better,0.5983829896856143,0.6472499925688864,-0.04886700288327206,-0.05240446064977664,-0.04514054712812231,0.04886700288327206,0.0451405471281223,0.05240446064977664,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_3301__internal_test,random_reference_test,random_seed_3301,random_internal_test,3301,lightgbm_weighted,logistic_weighted,macro_f1,higher_is_better,0.35329375016324666,0.3235290350866566,0.029764715076590065,0.02690565110847916,0.0324231286944216,0.029764715076590065,0.02690565110847916,0.0324231286944216,lightgbm_weighted,paired_same_collision_records,0.95,2000
