dataset,seed,cohort,model,metric,estimate,ci_lower,ci_upper
cas,3301,future,lightgbm_legacy,serious_or_fatal_recall,0.6056034482758621,0.5861961206896551,0.62586206896551722
cas,3301,future,lightgbm_revised,serious_or_fatal_recall,0.60344827586206895,0.58362068965517244,0.62328663793103445
cas,3301,future,dummy_most_frequent,mean_asymmetric_cost,0.51384936444697404,0.51384936444697404,0.51384936444697404
cas,3301,future,logistic_weighted,mean_asymmetric_cost,0.8366533864541833,0.81948396888635933,0.85429946879150065
cas,3301,future,lightgbm_legacy,mean_asymmetric_cost,0.78495541642952005,0.76835515082527039,0.80127347751849742
cas,3301,future,lightgbm_revised,mean_asymmetric_cost,0.78713716562322145,0.77034481123126541,0.80364257256687532
cas,4409,internal,dummy_most_frequent,macro_f1,0.29214085910257881,0.29214085910257881,0.29214085910257881
cas,4409,internal,logistic_weighted,macro_f1,0.32771466509790642,0.31654150872773218,0.33967887623328241
cas,4409,internal,lightgbm_legacy,macro_f1,0.34012339444923595,0.3277713530446148,0.35218610588828825
cas,4409,internal,lightgbm_revised,macro_f1,0.32876859581118945,0.31682270091655934,0.34059456486489376
cas,4409,internal,dummy_most_frequent,qwk,0,0,0
cas,4409,internal,logistic_weighted,qwk,0.090735368874615641,0.072333655524359011,0.10888226585375824
cas,4409,internal,lightgbm_legacy,qwk,0.086960932909799338,0.065092059940337121,0.10747531093307024
cas,4409,internal,lightgbm_revised,qwk,0.084091760235218027,0.064169853774572724,0.10286812580925113
cas,4409,internal,dummy_most_frequent,ordinal_mae,0.24718641293226928,0.24718641293226928,0.24718641293226928
cas,4409,internal,logistic_weighted,ordinal_mae,0.72478002864743196,0.70267546552076932,0.74647022713321054
cas,4409,internal,lightgbm_legacy,ordinal_mae,0.64599959075097202,0.62635563740536115,0.66789952936361774
cas,4409,internal,lightgbm_revised,ordinal_mae,0.68201350521792514,0.66072744014732965,0.70411295273173724
cas,4409,internal,dummy_most_frequent,accuracy,0.78002864743196232,0.78002864743196232,0.78002864743196232
cas,4409,internal,logistic_weighted,accuracy,0.47902598731328011,0.4653161448741559,0.49212195621035398
cas,4409,internal,lightgbm_legacy,accuracy,0.51708614692040111,0.50296193984039284,0.53018211581747499
cas,4409,internal,lightgbm_revised,accuracy,0.4982606916308574,0.48516472273378353,0.51177102516881523
cas,4409,internal,dummy_most_frequent,fatal_recall,0,0,0
cas,4409,internal,logistic_weighted,fatal_recall,0.59398496240601506,0.51127819548872178,0.67669172932330823
cas,4409,internal,lightgbm_legacy,fatal_recall,0.49624060150375937,0.41353383458646614,0.57894736842105265
cas,4409,internal,lightgbm_revised,fatal_recall,0.49624060150375937,0.41353383458646614,0.57894736842105265
cas,4409,internal,dummy_most_frequent,serious_or_fatal_recall,0,0,0
cas,4409,internal,logistic_weighted,serious_or_fatal_recall,0.59627906976744183,0.56741860465116278,0.62697674418604654
cas,4409,internal,lightgbm_legacy,serious_or_fatal_recall,0.52000000000000002,0.49113953488372092,0.54976744186046511
cas,4409,internal,lightgbm_revised,serious_or_fatal_recall,0.54418604651162794,0.51534883720930236,0.57395348837209303
cas,4409,internal,dummy_most_frequent,mean_asymmetric_cost,0.52158788622877017,0.52158788622877017,0.52158788622877017
